CSI-RSconfig.,Number of CSI reference signals configured,,,,,,,,,,,
,1 or 2,,,,4,,,,8,,,
,Normal subframe,,Special subframe,,Normal subframe,,Special subframe,,Normal subframe,,Special subframe,
,,,,,,,,,,,,
0,"(9,5)",0,"(9,5)",0,"(9,5)",0,"(9,5)",0,"(9,5)",0,"(9,5)",0
1,"(11,2)",1,"(11,5)",0,"(11,2)",1,"(11,5)",0,"(11,2)",1,"(11,5)",0
2,"(9,2)",1,"(9,2)",1,"(9,2)",1,"(9,2)",1,"(9,2)",1,"(9,2)",1
3,"(7,2)",1,"(7,5)",0,"(7,2)",1,"(7,5)",0,"(7,2)",1,"(7,5)",0
4,"(9,5)",1,,,"(9,5)",1,,,"(9,5)",1,,
5,"(8,5)",0,"(8,5)",0,"(8,5)",0,"(8,5)",0,,,,
6,"(10,2)",1,"(10,5)",0,"(10,2)",1,"(10,5)",0,,,,
7,"(8,2)",1,"(8,2)",1,"(8,2)",1,"(8,2)",1,,,,
8,"(6,2)",1,"(6,5)",0,"(6,2)",1,"(6,5)",0,,,,
9,"(8,5)",1,,,"(8,5)",1,,,,,,
10,"(3,5)",0,"(3,5)",0,,,,,,,,
11,"(2,5)",0,"(2,5)",0,,,,,,,,
12,"(5,2)",1,"(5,5)",0,,,,,,,,
13,"(4,2)",1,"(4,5)",0,,,,,,,,
14,"(3,2)",1,"(3,2)",1,,,,,,,,
15,"(2,2)",1,"(2,2)",1,,,,,,,,
16,"(1,2)",1,"(1,5)",0,,,,,,,,
17,"(0,2)",1,"(0,5)",0,,,,,,,,
18,"(3,5)",1,,,,,,,,,,
19,"(2,5)",1,,,,,,,,,,
20,"(11,1)",1,,,"(11,1)",1,,,"(11,1)",1,,
21,"(9,1)",1,,,"(9,1)",1,,,"(9,1)",1,,
22,"(7,1)",1,,,"(7,1)",1,,,"(7,1)",1,,
23,"(10,1)",1,,,"(10,1)",1,,,,,,
24,"(8,1)",1,,,"(8,1)",1,,,,,,
25,"(6,1)",1,,,"(6,1)",1,,,,,,
26,"(5,1)",1,,,,,,,,,,
27,"(4,1)",1,,,,,,,,,,
28,"(3,1)",1,,,,,,,,,,
29,"(2,1)",1,,,,,,,,,,
30,"(1,1)",1,,,,,,,,,,
31,"(0,1)",1,,,,,,,,,,
