Parameter,Unit,Test configuration,Value,Comment
E-UTRA RF Channel Number,,"Config 1,2",1,One E-UTRAN carrier frequency is used.
NR RF Channel Number,,"Config 1,2","1, 2",Two FR1 NR carrier frequencies are used. Channels 1 and 2 are with CCA.
Active cell,,"Config 1,2",LTE Cell 1 (PCell) and NR cell 2 with CCA (PScell),LTE Cell 1 is on E-UTRA RF channel number 1.NR Cell 2 with CCA is on NR RF channel number 1.
Neighbour cell,,"Config 1,2",NR cell 3,NR cell 3 is on NR RF channel number 2 with CCA.
DL CCA model,,"Config 1,2",As specified in clause A.3.26.2.1,
UL CCA model,,"Config 1,2",As specified in clause A.3.26.2.2,
Gap Pattern Id,,"Config 1,2",0,As specified in clause 9.1.2-1.
Measurement gap offset,,"Config 1,2",9,
A3-Offset,dB,"Config 1,2",-6,
Hysteresis,dB,"Config 1,2",0,
CP length,,"Config 1,2",Normal,
TimeToTrigger,s,"Config 1,2",0,
Filter coefficient,,"Config 1,2",0,L3 filtering is not used
DRX,,"Config 1,2",OFF,DRX is not used
Time offset between PCell and PSCell,,"Config 1,2",3 s,Synchronous EN-DC
Time offset between serving and neighbour cells,,"Config 1,2",3 s,Synchronous cells.
T1,s,"Config 1,2",5,
T2,s,"Config 1,2",1.7,
