Parameter,,Config,Unit,Test 1,Test 2
SSB GSCN,,"1,2",,freq1,freq1
DL CCA model,,"1,2",,As specifieed in A.3.26.2.1,As specifieed in A.3.26.2.1
UL CCA model,,"1,2",,As specified in A.3.26.2.2,As specified in A.3.26.2.2
Duplex mode,,"1,2",,TDD,TDD
TDD Configuration,,"1,2",,TDDConf.1.1 CCA,TDDConf.1.1 CCA
BWchannel,,"1,2",MHz,"40: NPRB,c = 106","40: NPRB,c = 106"
Duplex mode,,"1,2",,TDD,TDD
TDD configuration,,"1,2",,TDDConf.1.1 CCA,TDDConf.1.1 CCA
PDSCH Reference measurement channel,,"1,2",,SR.1.1 CCA,SR.1.1 CCA
RMSI CORESET Reference Channel,,"1,2",,CR.1.1 CCA,CR.1.1 CCA
Dedicated CORESET Reference Channel,,"1,2",,CCR.1.1 CCA,CCR.1.1 CCA
SSB configuration for Semi-static channel access,,"1,2",,SSB.3 CCA,SSB.3 CCA
SSB configuration for Dynamic channel access,,"1,2",,SSB.4 CCA,SSB.4 CCA
OCNG Patterns,,"1,2",,OP.1,OP.1
TRS configuration,,"1,2",,TRS.1.2 TDD,TRS.1.2 TDD
Initial BWP Configuration,,"1,2",,DLBWP.0.1ULBWP.0.1,DLBWP.0.1ULBWP.0.1
Dedicated BWP configuration,,"1,2",,DLBWP.1.1ULBWP.1.1,DLBWP.1.1ULBWP.1.1
DBT Window Configuration,,"1,2",,DBT.1,DBT.1
reportConfigType,,"1,2",,periodic,periodic
reportQuantity,,"1,2",,ssb-Index-RSRP,ssb-Index-RSRP
Number of reported RS,,"1,2",,2,2
L1-RSRP reporting period,,"1,2",,slot80,slot80
EPRE ratio of PSS to SSS,,"1,2",dB,0,0
EPRE ratio of PBCH DMRS to SSS,,"1,2",,,
EPRE ratio of PBCH to PBCH DMRS,,,,,
EPRE ratio of PDCCH DMRS to SSS,,,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,,,
EPRE ratio of PDSCH DMRS to SSS,,,,,
EPRE ratio of PDSCH to PDSCH DMRS,,,,,
EPRE ratio of OCNG DMRS to SSSNote 1,,,,,
EPRE ratio of OCNG to OCNG DMRS Note 1,,,,,
Note2,NR_TDD_FR1_I,"1,2",dBm/15 kHz,-94.65,-113
Note2,NR_TDD_FR1_I,"1,2",dBm/SCS,-91.65,-110
,,"1,2",dB,10,-3
SS-RSRPNote3,NR_TDD_FR1_I,"1,2",dBm/SCS,-81.65,-113
IoNote3,NR_TDD_FR1_I,"1,2",dBm/38.16 MHz,-50.19,-77.19
,,"1,2",dB,10,-3
Propagation condition,,"1,2",,AWGN,AWGN
Antenna configuration,,"1,2",,1x2,1x2
NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:RSRP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 4:RSRP minimum requirements are specified assuming independent interference and noise at each receiver antenna port.NOTE 5: The test configuration excludes support for band n51 and it is not required to run this test on band n51 in this release of the specification,,,,,
