Parameter,Unit,Config,Test,,,,
,,,T1,T2,T3,T4,T5
"PCCA_DL for dynamic channel access Note 5,7",-,PCCA_DL_1=0.75PCCA_DL_2=0.75,PCCA_DL_1=0.75PCCA_DL_2=0.75,,,,
"PCCA_DL for semi-static channel access Note 6,7",-,PCCA_DL=0.9375,PCCA_DL=0.9375,,,,
"PCCA_UL for dynamic channel access Note 5,7",-,1,1,,,,
"PCCA_UL for semi-static channel access Note 6,7",-,1,1,,,,
E-UTRA RF Channel Number,,"1,2",1,,,,
NR RF Channel Number,,"1,2",2,,,,
TDD configuration,,"1,2",TDDConf.1.1 CCA,,,,
BWchannel,,"1,2","40: NPRB,c = 106",,,,
Initial BWP Configuration,,"1,2",DLBWP.0.1ULBWP.0.1,,,,
Dedicated BWP Configuration,,"1,2",DLBWP.1.1ULBWP.1.1,,,,
PDSCH Reference,,"1,2",SR1.1 CCA,,,,
RMSI CORESET Reference,,"1,2",CR1.1 CCA,,,,
Dedicated CORESET Reference,,"1,2",CCR1.1 CCA,,,,
OCNG Patterns,,"1,2",OP.1,,,,
DBT window configuration,,"1, 2",DBT.1,,,,
SSB configuration for semi-static channel access,,"1, 2",SSB.1 CCA,,,,
SSB configuration for dynamic channel access,,"1, 2",SSB.2 CCA,,,,
SMTC configuration,,"1,2",SMTC.1,,,,
TRS Configuration,,"1,2",TRS.1.2 TDD,,,,
EPRE ratio of PSS to SSS,,,,,,,
EPRE ratio of PBCH DMRS to SSS,,,,,,,
EPRE ratio of PBCH to PBCH DMRS,,,,,,,
EPRE ratio of PDCCH DMRS to SSS,,,,,,,
EPRE ratio of PDCCH to PDCCH DMRS,dB,"1,2",0,,,,
EPRE ratio of PDSCH DMRS to SSS,,,,,,,
EPRE ratio of PDSCH to PDSCH,,,,,,,
EPRE ratio of OCNG DMRS to SSS(Note 1),,,,,,,
EPRE ratio of OCNG to OCNG DMRS (Note 1),,,,,,,
Note2,dBm/15 kHz,"1,2",N/A,-85,,,
Note2,dBm/SCS,"1,2",N/A,-82,,,
,,"1,2",-infinity,0,,,
,,"1,2",-infinity,0,,,
SS-RSRPNote3,dBm/SCS,"1,2",-infinity,-82,,,
IoNote3,dBm/38.1 MHz,"1,2",N/A,-51,,,
Propagation condition,,"1,2",AWGN,,,,
"NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols. For cells with CCA model, OCNG is transmitted only in slots with RMC burst transmission and is not transmitted during muted slots or during DBT windows.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:SS-RSRP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 4:SS-RSRP minimum requirements are specified assuming independent interference and noise at each receiver antenna port.NOTE 5:For UE supporting semi-static channel access and network configuring semi-static channel occupancy.NOTE 6:For UE supporting dynamic channel access and network configuring dynamic channel occupancy.NOTE 7:For a UE supporting both semi-static and dynamic channel access, the UE can be tested under dynamic channel occupancy only.",,,,,,,
