Parameter,Unit,Test configuration,Value,Comment
E-UTRA RF Channel Number,,"Config 1,2",1,
NR RF Channel Number,,"Config 1,2","1, 2",
Active cell,,"Config 1,2",LTE Cell 1 (PCell) and NR cell 2 with CCA (PScell),LTE Cell 1 is on E-UTRA RF channel number 1.NR Cell 2 is on NR RF channel number 2 with CCA.
Neighbour cell,,"Config 1,2",NR cell 3,NR cell 3 is on NR RF channel number 2 with CCA.
DL CCA model,,"Config 1,2",As specified in clause A.3.26.2.1,
UL CCA model,,"Config 1,2",As specified in clause A.3.26.2.2,
Measurement gap type,,"Config 1,2",Per-UE gaps,
Measurement gap repitition periodicity,ms,"Config 1,2",40,
Measurement gap length,ms,"Config 1,2",6,
Measurement gap offset,ms,"Config 1,2",39,
A3-Offset,dB,"Config 1,2",-6,
Hysteresis,dB,"Config 1,2",0,
CP length,,"Config 1,2",Normal,
TimeToTrigger,s,"Config 1,2",0,
Filter coefficient,,"Config 1,2",0,L3 filtering is not used
DRX,,"Config 1,2",DRX.1,
Time offset between PCell and PSCell,,"Config 1,2",3 s,Synchronous EN-DC
Time offset between serving and neighbour cells,,"Config 1,2",3 s,Synchronous cells.
T1,s,"Config 1,2",5,
T2,s,"Config 1,2",5,
