Parameter,,Unit,Test,Cell 2,,Cell 3,
,,,configuration,T1,T2,T1,T2
NR RF Channel Number,,,"Config 1,2,3,4,5,6",1,,2,
Duplex mode,,,"Config 1,4",TDD,,FDD,
,,,"Config 2,3,5,6",TDD,,TDD,
BWchannel,,MHz,"Config 1,2,4,5","40: NPRB,c = 106",,"10: NPRB,c = 52",
,,,"Config 3,6","40: NPRB,c = 106",,"40: NPRB,c = 106",
BWP BW,,MHz,"Config 1,2,4,5","40: NPRB,c = 106",,"10: NPRB,c = 52",
,,,"Config 3,6","40: NPRB,c = 106",,"40: NPRB,c = 106",
TDD configuration,,,"Config 1,4",TDDConf.1.1 CCA,,NA,
,,,"Config 2,5",TDDConf.1.1 CCA,,TDDConf.1.1,
,,,"Config 3,6",TDDConf.1.1 CCA,,TDDConf.2.1,
Initial DL BWP,,,"Config 1,2,3,4,5,6",DLBWP.0.1,,NA,
Initial UL BWP,,,"Config 1,2,3,4,5,6",ULBWP.0.1,,NA,
Dedicated DL BWP,,,"Config 1,2,3,4,5,6",DLBWP.1.1,,NA,
Dedicated UL BWP,,,"Config 1,2,3,4,5,6",ULBWP.1.1,,NA,
TRS configuration,,,"Config 1,2,3,4,5,6",TRS.1.2 TDD,,NA,
OCNG Patterns defined in A.3.2.1.1 (OP.1),,,"Config 1,2,3,4,5,6",OP.1,,OP.1,
PDSCH Reference measurement channel,,,"Config 1,4",SR.1.1 CCA,,SR.1.1 FDD,
,,,"Config 2,5",SR.1.1 CCA,,SR.1.1 TDD,
,,,"Config 3,6",SR.1.1 CCA,,SR.2.1 TDD,
CORESET Reference Channel,,,"Config 1,4",CR.1.1 CCA,,CR.1.1 FDD,
,,,"Config 2,5",CR.1.1 CCA,,CR.1.1 TDD,
,,,"Config 3,6",CR.1.1 CCA,,CR.2.1 TDD,
SSB,"Semi-static channel access Note 5,7Semi-static channel access Note 5,7",,"Config 1,4",SSB.1 CCA,,SSB.1 FR1,
parameters,,,"Config 2,5",SSB.1 CCA,,SSB.1 FR1,
,,,"Config 3,6",SSB.1 CCA,,SSB.2 FR1,
,"Dynamic channel access Note 6,7",,"Config 1,4",SSB.2 CCA,,SSB.1 FR1,
,,,"Config 2,5",SSB.2 CCA,,SSB.1 FR1,
,,,"Config 3,6",SSB.2 CCA,,SSB.2 FR1,
DBT window configuration,,,"Config 1,2,3,4,5,6",As defined in A.3.28.1,,Not applicable,
SMTC configuration,,,"Config 1,4",SMTC.2,,SMTC.5,
defined in A.3.11,,,"Config 2,3,5,6",SMTC.1,,SMTC.4,
PDSCH/PDCCH,,kHz,"Config 1,2,4,5",30,,15,
subcarrier spacing,,,"Config 3,6",30,,30,
DL CCA probability PCCA_DL,"Semi-static channel access Note 5,7",,"Config 1,2,3,4,5,6",PCCA_DL=0.9375,,Not applicable,
,"Dynamic channel access Note 6,7",,"Config 1,2,3,4,5,6",PCCA_DL_1=0.75PCCA_DL_2=0.75,,Not applicable,
UL CCA probability PCCA_UL,"Semi-static channel access Note 5,7",,"Config 1,2,3,4,5,6",PCCA_UL=1,,Not applicable,
,"Dynamic channel access Note 6,7",,"Config 1,2,3,4,5,6",PCCA_UL=1,,Not applicable,
LCCA_DL,,,"Config 1,2,3,4,5,6",5,,5,
WCCA_DL,,ms,"Config 1,2,3,4,5,6",TPSS/SSS_sync_inter_cca,,TPSS/SSS_sync_inter_cca,
EPRE ratio of PSS to SSS,,,,,,,
EPRE ratio of PBCH DMRS to SSS,,,,,,,
EPRE ratio of PBCH to PBCH DMRS,,,,,,,
EPRE ratio of PDCCH DMRS to SSS,,,,,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,"Config 1,2,3,4,5,6",0,,0,
EPRE ratio of PDSCH DMRS to SSS,,,,,,,
EPRE ratio of PDSCH to PDSCH,,,,,,,
EPRE ratio of OCNG DMRS to SSS(Note 1),,,,,,,
EPRE ratio of OCNG to OCNG DMRS (Note 1),,,,,,,
Note2,,dBm/15 kHz,"Config 1,2,3,4,5,6",-98,,-98,
Note2,,dBm/SCS,"Config 1,2,4,5",-98,,-95,
,,,"Config 3,6",-95,,-95,
SS-RSRP Note 3,,dBm/SCS,"Config 1,2,4,5",-94,-94,-Infinity,-88
,,,"Config 3,6",-91,-91,-Infinity,-88
,,dB,"Config 1,2,3,4,5,6",4,4,-Infinity,7
,,dB,"Config 1,2,3,4,5,6",4,4,-Infinity,7
IoNote3,,dBm/9.36 MHz,"NR Config 1,2,4,5",-64.59,-64.59,-63.94,-56.15
,,dBm/38.16 MHz,"NR Config 3,6",-58.49,-58.49,-63.94,-56.15
Propagation Condition,,,"Config 1,2,3,4,5,6",AWGN,,,
"NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols. For cells with CCA model, OCNG is transmitted only in the slots with downlink transmission burst and is not transmitted during the muted slots or during DBT window.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:SS-RSRP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 4:SS-RSRP minimum requirements are specified assuming independent interference and noise at each receiver antenna port.NOTE 5:For UE supporting semi-static channel access and network configuring semi-static channel occupancy.NOTE 6:For UE supporting dynamic channel access and network configuring dynamic channel occupancy.NOTE 7:For UE supporting both semi-static and dynamic channel access, the UE must be tested under dynamic channel access configuration.",,,,,,,
