Parameter,Unit,Value,Comment
RF Channel Number,,"1,2,3","Three radio channels (1, 2, 3) are used for this test"
Active PCell,,Cell 1,Primary cell on E-UTRAN RF channel number 1.
Active PSCell,,Cell 2,Primary secondary cell on NR RF channel number 2.
Configured deactivated SCell,,Cell 3,Configured deactivated secondary cell on NR RF channel number 3
CP length,,Normal,
DRX,,OFF,Continuous monitoring of primary cell
CQI/PMI periodicity and offset configuration index,,0,CQI reporting for SCell every second subframe
SCell measurement cycle (measCycleSCell),ms,160,
Cell 3 timing offset to Cell 2,s,0,
Time alignment error between Cell 3 and Cell 2,s,TAE as specified in TS 38.104 [13] clause 6.5.3.1.,The value of time alignment error depends upon the type of carrier aggregation.
T1,s,7,During this time PCell and PSCell shall be known and the SCell configured and detected.
T2,s,1,During this time the UE shall activate the SCell.
T3,s,1,During this time the UE shall deactivate the SCell.
THARQ,ms,k1NR slot length×,"k1 is a number of slots and is indicated by the PDSCH-to-HARQ-timing-indicator field in the DCI format, if present, or provided by dl-DataToUL-ACK, the value of k should be the minimum value defined in TS 38.213 [3] depends on UE’s capability"
TCSI_Reporting,ms,10+5⋅2µDL,"The delay (in ms) including uncertainty in acquiring the first available downlink CSI reference resource, UE processing time for CSI reporting (clause 5.2.2.5 in TS 38.214) and uncertainty in acquiring the first available CSI reporting resources as specified in TS 38.331 [2] is the subcarrier spacing configuration for DLµDL"
