Reference channel,A19-1,A19-2,A19-3,A19-4,A19-5,A19-6
Allocated resource blocks,6,15,25,50,75,100
DFT-OFDM Symbols in UpPTS,5,5,5,5,5,5
Modulation,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM
Code rate,0.69,0.69,0.69,0.69,0.69,0.69
Payload size (bits),1864,4584,8248,16416,26416,34008
Transport block CRC (bits),24,24,24,24,24,24
Code block CRC size (bits),0,0,24,24,24,24
Number of code blocks - C,1,1,2,3,5,6
Coded block size including 12bits trellis termination (bits),5767,13836,12492,16524,15948,17100
Total number of bits in UpPTS,2880,7200,12000,24000,36000,48000
Total symbols in UpPTS,360,900,1500,3000,4500,6000
"Note 1:for special subframe configuration with more than 3 UpPTS SC-FDMA data symbols, the UE shall determine the TBS using .",,,,,,
