Reference channel,A8-1,A8-2,A8-3,A8-4,A8-5,A8-6
Allocated resource blocks,3,6,12,25,25,25
DFT-OFDM Symbols per subframe,12,12,12,12,12,12
Modulation,QPSK,QPSK,QPSK,QPSK,QPSK,QPSK
Code rate,1/3,1/3,1/3,1/3,1/3,1/3
Payload size (bits),256,600,1224,2216,2216,2216
Transport block CRC (bits),24,24,24,24,24,24
Code block CRC size (bits),0,0,0,0,0,0
Number of code blocks - C,1,1,1,1,1,1
Coded block size including 12bits trellis termination (bits),852,1884,3756,6732,6732,6732
Total number of bits per sub-frame,864,1728,3456,7200,7200,7200
Total symbols per sub-frame,432,864,1728,3600,3600,3600
"SRS bandwidth configuration (See TS 36.211, 5.5.3) (Note 1)",7,5,3,2,5,2
"SRS-Bandwidth b (See TS 36.211, 5.5.3) (Note 1, 2)",0,0,0,0,0,1
NOTE 1. The transmission of SRS is optionalNOTE 2. PUSCH resource blocks shall be included in SRS resource blocks,,,,,,
