Channel Bandwidth [MHz],Cyclic prefix,FRC(Annex A),Number of TX antennas,Number of RX antennas,Propagation conditions and correlation matrix (Annex B),Fraction of maximum throughput,SNR[dB]
1.4,Normal,A3-2,1,1,HST Scenario 3,30%,-1.5
,,,,,,70%,1.9
,,,,,HST Scenario 3-LTE500a (NOTE 1),30%,-1.5
,,,,,,70%,1.9
,,,,,HST Scenario 3-LTE500b (NOTE 2),30%,-1.5
,,,,,,70%,1.9
,,,,2,HST Scenario 1 Low,30%,-3.9
,,,,,,70%,-0.6
,,,,,HST Scenario 1-LTE500a Low (NOTE 1),30%,-3.9
,,,,,,70%,-0.6
,,,,,HST Scenario 1-LTE500b Low (NOTE 2),30%,-3.9
,,,,,,70%,-0.6
3,Normal,A3-3,,1,HST Scenario 3,30%,-2.1
,,,,,,70%,1.6
,,,,,HST Scenario 3-LTE500a (NOTE 1),30%,-2.1
,,,,,,70%,1.8
,,,,,HST Scenario 3-LTE500b (NOTE 2),30%,-2.1
,,,,,,70%,1.7
,,,,2,HST Scenario 1 Low,30%,-4.5
,,,,,,70%,-1.0
,,,,,HST Scenario 1-LTE500a Low (NOTE 1),30%,-4.5
,,,,,,70%,-1.0
,,,,,HST Scenario 1-LTE500b Low (NOTE 2),30%,-4.5
,,,,,,70%,-1.0
5,Normal,A3-4,,1,HST Scenario 3,30%,-2.6
,,,,,,70%,1.3
,,,,,HST Scenario 3-LTE500a (NOTE 1),30%,-2.6
,,,,,,70%,1.3
,,,,,HST Scenario 3-LTE500b (NOTE 2),30%,-2.6
,,,,,,70%,1.3
,,,,2,HST Scenario 1 Low,30%,-5.1
,,,,,,70%,-1.4
,,,,,HST Scenario 1-LTE500a Low (NOTE 1),30%,-5.1
,,,,,,70%,-1.4
,,,,,HST Scenario 1-LTE500b Low (NOTE 2),30%,-5.1
,,,,,,70%,-1.4
10,Normal,A3-5,,1,HST Scenario 3,30%,-2.7
,,,,,,70%,1.2
,,,,,HST Scenario 3-LTE500a (NOTE 1),30%,-2.7
,,,,,,70%,1.7
,,,,,HST Scenario 3-LTE500b (NOTE 2),30%,-2.7
,,,,,,70%,1.7
,,,,2,HST Scenario 1 Low,30%,-5.4
,,,,,,70%,-1.5
,,,,,HST Scenario 1-LTE500a Low (NOTE 1),30%,-5.4
,,,,,,70%,-1.5
,,,,,HST Scenario 1-LTE500b Low (NOTE 2),30%,-5.4
,,,,,,70%,-1.2
15,Normal,A3-6,,1,HST Scenario 3,30%,-2.7
,,,,,,70%,1.2
,,,,,HST Scenario 3-LTE500a (NOTE 1),30%,-2.7
,,,,,,70%,1.2
,,,,,HST Scenario 3-LTE500b (NOTE 2),30%,-2.7
,,,,,,70%,1.2
,,,,2,HST Scenario 1 Low,30%,-5.2
,,,,,,70%,-1.4
,,,,,HST Scenario 1-LTE500a Low (NOTE 1),30%,-5.2
,,,,,,70%,-1.4
,,,,,HST Scenario 1-LTE500b Low (NOTE 2),30%,-5.2
,,,,,,70%,-1.4
20,Normal,A3-7,,1,HST Scenario 3,30%,-2.7
,,,,,,70%,1.2
,,,,,HST Scenario 3-LTE500a (NOTE 1),30%,-2.7
,,,,,,70%,1.5
,,,,,HST Scenario 3-LTE500b (NOTE 2),30%,-2.7
,,,,,,70%,1.8
,,,,2,HST Scenario 1 Low,30%,-5.3
,,,,,,70%,-1.4
,,,,,HST Scenario 1-LTE500a Low (NOTE 1),30%,-5.3
,,,,,,70%,-1.4
,,,,,HST Scenario 1-LTE500b Low (NOTE 2),30%,-5.3
,,,,,,70%,-1.4
NOTE 1:Not applicable if the BS manufacturer declares supported maximum Doppler frequency is 1750 HzNOTE 2:Not applicable if the BS manufacturer declares supported maximum Doppler frequency is 1944 Hz,,,,,,,
