Reference channel,A16-1,A16-2,A16-3,A16-4,A16-5,A16-6
Subcarrier spacing (kHz),3.75,15,15,15,15,15
Number of allocated subcarriers,1,1,3,6,12,12
Diversity,No,No,No,No,No,No
Modulation,BPSK,BPSK,QPSK,QPSK,QPSK,QPSK
ITBS / IRU,0 / 1,0 / 1,3 / 0,7 / 0,9 / 0,5/4
Payload size (bits),32,32,40,104,136,424
Allocated resource unit,2,2,1,1,1,5
Code rate (target),1/3,1/3,1/3,1/3,2/3,1/3
Code rate (effective),0.29,0.29,0.22,0.44,0.56,0.34
Transport block CRC (bits),24,24,24,24,24,24
Code block CRC size (bits),0,0,0,0,0,0
Number of code blocks - C,1,1,1,1,1,1
Total number of bits per resource unit,96,96,288,288,288,1440
Total symbols per resource unit,96,96,144,144,144,720
Channel estimation length (ms) Note 1,16,4,4,4,2 (when repetition = 2)4 (when repetition > 2),4
Note 1:Channel estimation lengths are included in the table for information only.,,,,,,
