Number of TX antennas,Number of RX antennas,Cyclic prefix,Propagation conditions a and correlation matrix (Annex B),FRC(Annex A),Fraction of maximum throughput,SNR[dB]
1,2,Normal,EPA 5Hz Low,A3-4,30%,-4.7
,,,,,70%,-0.7
,,,,A4-5,70%,10.4
,,,,A5-4,70%,18.0
,,,,A17-3,70%,21.9
,,,,A18-3,70%,8.3
,,,,A19-3,70%,19.4
,,,EVA 5Hz Low,A3-1,30%,-2.7
,,,,,70%,1.8
,,,,A4-1,30%,4.3
,,,,,70%,11.5
,,,,A5-1,70%,18.6
,,,EVA 70Hz Low,A3-4,30%,-4.5
,,,,,70%,-0.1
,,,,A4-5,30%,4.3
,,,,,70%,12.3
,,,ETU 70Hz* Low,A3-1,30%,-2.5
,,,,,70%,2.4
,,,ETU 300Hz* Low,A3-1,30%,-2.2
,,,,,70%,2.9
,,Extended,ETU 70Hz* Low,A4-2,30%,4.8
,,,,,70%,13.5
,4,Normal,EPA 5Hz Low,A3-4,30%,-7.1
,,,,,70%,-3.8
,,,,A4-5,70%,7.6
,,,,A5-4,70%,14.4
,,,,A17-3,70%,18.5
,,,,A18-3,70%,5.1
,,,,A19-3,70%,15.8
,,,EVA 5Hz Low,A3-1,30%,-5.1
,,,,,70%,-1.4
,,,,A4-1,30%,1.2
,,,,,70%,7.9
,,,,A5-1,70%,15.5
,,,EVA 70Hz Low,A3-4,30%,-6.9
,,,,,70%,-3.3
,,,,A4-5,30%,1.2
,,,,,70%,8.3
,,,ETU 70Hz* Low,A3-1,30%,-4.8
,,,,,70%,-0.9
,,,ETU 300Hz* Low,A3-1,30%,-4.6
,,,,,70%,-0.6
,,,ETU 600Hz**Low,A13-3,30%,-0.9
,,,,,70%,6.1
,,Extended,ETU 70Hz* Low,A4-2,30%,1.6
,,,,,70%,9.9
,8,Normal,EPA 5Hz Low,A3-4,30%,-10.1
,,,,,70%,-7.2
,,,,A4-5,70%,4.0
,,,,A5-4,70%,11.3
,,,,A17-3,70%,15.3
,,,,A18-3,70%,2.0
,,,,A19-3,70%,12.5
,,,EVA 5Hz Low,A3-1,30%,-7.1
,,,,,70%,-3.9
,,,,A4-1,30%,-1.9
,,,,,70%,4.4
,,,,A5-1,70%,11.7
,,,EVA 70Hz Low,A3-4,30%,-9.9
,,,,,70%,-6.7
,,,,A4-5,30%,-2.5
,,,,,70%,4.6
,,,ETU 70Hz* Low,A3-1,30%,-6.9
,,,,,70%,-3.4
,,,ETU 300Hz* Low,A3-1,30%,-6.9
,,,,,70%,-3.3
,,Extended,ETU 70Hz* Low,A4-2,30%,-1.2
,,,,,70%,6.4
"Note*:Not applicable for Local Area BS and Home BS.Note**:Not applicable for Local Area BS and Home BS, and only applicable for BS supporting ETU600.",,,,,,
