Number of TX antennas,Number of RX antennas,Cyclic prefix,Propagation conditions and correlation matrix (Annex B),FRC(Annex A),Fraction of  maximum throughput,SNR[dB]
1,2,Normal,EPA 5Hz Low,A3-2,30%,-4.1
,,,,,70%,0.1
,,,,A4-3,70%,10.6
,,,,A5-2,70%,17.7
,,,,A17-1,70%,21.4
,,,,A18-1,70%,7.4
,,,,A19-1,70%,18.1
,,,EVA 5Hz Low,A3-1,30%,-2.7
,,,,,70%,1.8
,,,,A4-1,30%,4.4
,,,,,70%,11.3
,,,,A5-1,70%,18.6
,,,EVA 70Hz Low,A3-2,30%,-3.9
,,,,,70%,0.7
,,,,A4-3,30%,4.0
,,,,,70%,11.9
,,,ETU 70Hz* Low,A3-1,30%,-2.4
,,,,,70%,2.4
,,,ETU 300Hz* Low,A3-1,30%,-2.2
,,,,,70%,2.9
,,Extended,ETU 70Hz* Low,A4-2,30%,4.8
,,,,,70%,13.5
,4,Normal,EPA 5Hz Low,A3-2,30%,-6.6
,,,,,70%,-3.1
,,,,A4-3,70%,7.1
,,,,A5-2,70%,14.4
,,,,A17-1,70%,18.2
,,,,A18-1,70%,4.1
,,,,A19-1,70%,14.7
,,,EVA 5Hz Low,A3-1,30%,-5.0
,,,,,70%,-1.3
,,,,A4-1,30%,1.3
,,,,,70%,7.8
,,,,A5-1,70%,15.4
,,,EVA 70Hz Low,A3-2,30%,-6.3
,,,,,70%,-2.7
,,,,A4-3,30%,0.8
,,,,,70%,8.3
,,,ETU 70Hz* Low,A3-1,30%,-4.8
,,,,,70%,-1.0
,,,ETU 300Hz* Low,A3-1,30%,-4.6
,,,,,70%,-0.6
,,,ETU 600Hz** Low,A13-1,30%,-0.9
,,,,,70%,6.1
,,Extended,ETU 70Hz* Low,A4-2,30%,1.6
,,,,,70%,9.9
,8,Normal,EPA 5Hz Low,A3-2,30%,-9.4
,,,,,70%,-6.4
,,,,A4-3,70%,4.0
,,,,A5-2,70%,10.9
,,,,A17-1,70%,15.1
,,,,A18-1,70%,1.1
,,,,A19-1,70%,11.6
,,,EVA 5Hz Low,A3-1,30%,-7.2
,,,,,70%,-3.8
,,,,A4-1,30%,-1.7
,,,,,70%,4.6
,,,,A5-1,70%,11.7
,,,EVA 70Hz Low,A3-2,30%,-9.0
,,,,,70%,-5.8
,,,,A4-3,30%,-2.5
,,,,,70%,4.8
,,,ETU 70Hz* Low,A3-1,30%,-6.8
,,,,,70%,-3.6
,,,ETU 300Hz* Low,A3-1,30%,-6.7
,,,,,70%,-3.3
,,Extended,ETU 70Hz* Low,A4-2,30%,-1.1
,,,,,70%,6.4
"Note*:Not applicable for Local Area BS and Home BS.Note**:Not applicable for Local Area BS and Home BS, and only applicable for BS supporting ETU600.",,,,,,
