Type of coexistence BS,Frequency range for co-location requirement,Maximum Level,Measurement Bandwidth,Note
UTRA FDD Band I or E-UTRA Band 1,1920 - 1980 MHz,-71 dBm,100 kHz,"This requirement does not apply to Home BS operating in band 1 or 65, since it is already covered by the requirement in clause 6.6.4.2."
UTRA FDD Band II or E-UTRA Band 2,1850 - 1910 MHz,-71 dBm,100 kHz,"This requirement does not apply to Home BS operating in band 2 or 25, since it is already covered by the requirement in clause 6.6.4.2."
UTRA FDD Band III or E-UTRA Band 3,1710 - 1785 MHz,-71 dBm,100 kHz,"This requirement does not apply to Home BS operating in band 3, since it is already covered by the requirement in clause 6.6.4.2. For Home BS operating in band 9, it applies for 1710 MHz to 1749.9 MHz and 1784.9 MHz to 1785 MHz, while the rest is covered in clause 6.6.4.2."
UTRA FDD Band IV or E-UTRA Band 4,1710 - 1755 MHz,-71 dBm,100 kHz,"This requirement does not apply to Home BS operating in band 4, 10 or 66, since it is already covered by the requirement in clause 6.6.4.2."
UTRA FDD Band V or E-UTRA Band 5,824 - 849 MHz,-71 dBm,100 kHz,"This requirement does not apply to Home BS operating in band 5 or 26, since it is already covered by the requirement in clause 6.6.4.2.  For EUTRA BS operating in Band 27, it applies 3 MHz below the Band 27 downlink operating band."
"UTRA FDD Band VI, XIX or E-UTRA Band 6, 18, 19",815 - 830 MHz,-71 dBm,100 kHz,"This requirement does not apply to Home BS operating in band 18, since it is already covered by the requirement in clause 6.6.4.2."
,830 - 845 MHz,-71 dBm,100 kHz,"This requirement does not apply to Home BS operating in band 6, 19, since it is already covered by the requirement in clause 6.6.4.2."
UTRA FDD Band VII or E-UTRA Band 7,2500 - 2570 MHz,-71 dBm,100 kHz,"This requirement does not apply to Home BS operating in band 7, since it is already covered by the requirement in clause 6.6.4.2."
UTRA FDD Band VIII or E-UTRA Band 8,880 - 915 MHz,-71 dBm,100 kHz,"This requirement does not apply to Home BS operating in band 8, since it is already covered by the requirement in clause 6.6.4.2."
UTRA FDD Band IX or E-UTRA Band 9,1749.9 - 1784.9 MHz,-71 dBm,100 kHz,"This requirement does not apply to Home BS operating in band 3 or 9, since it is already covered by the requirement in clause 6.6.4.2."
UTRA FDD Band X or E-UTRA Band 10,1710 - 1770 MHz,-71 dBm,100 kHz,"This requirement does not apply to Home BS operating in band 10 or 66, since it is already covered by the requirement in clause 6.6.4.2. For Home BS operating in Band 4, it applies for 1755 MHz to 1770 MHz, while the rest is covered in clause 6.6.4.2."
"UTRA FDD Band XI, XXI or E-UTRA Band 11, 21",1427.9 - 1447.9 MHz,-71 dBm,100 kHz,"This requirement does not apply to Home BS operating in band 11 or 74, since it is already covered by the requirement in clause 6.6.4.2. This requirement does not apply to Home BS operating in band 32, 50, 51, 75 or 76."
