Number of TX antennas,Number ofRX antennas,Cyclic Prefix,Propagationconditionsand correlation matrix (Annex B),Channel Bandwidth [MHz],FRC(Annex A),,SNR [dB]
1,2,Normal,EVA 5* Low,1.4,A.3-1,8,6.8
,,,,,A.4-3,5,13.6
,,,,3,A.3-1,8,6.8
,,,,,A.4-4,5,13.1
,,,,5,A.3-1,8,6.9
,,,,,A.4-5,5,12.4
,,,,10,A.3-1,8,6.8
,,,,,A.4-6,5,12.4
,,,,15,A.3-1,8,6.8
,,,,,A.4-7,5,12.0
,,,,20,A.3-1,8,6.8
,,,,,A.4-8,5,11.9
,,,ETU70** Low,1.4,A.3-1,8,6.6
,,,,,A.4-3,5,13.8
,,,,3,A.3-1,8,6.6
,,,,,A.4-4,5,12.9
,,,,5,A.3-1,8,6.5
,,,,,A.4-5,5,12.5
,,,,10,A.3-1,8,6.6
,,,,,A.4-6,5,12.3
,,,,15,A.3-1,8,6.7
,,,,,A.4-7,5,12.1
,,,,20,A.3-1,8,6.5
,,,,,A.4-8,5,12
Note*:Not applicable for Wide Area BS and Medium Range BS.Note**:Not applicable for Local Area BS and Home BS.,,,,,,,
