Number of TX antennas,Number of RX antennas,Cyclic prefix,Propagation conditions and correlation matrix (Annex B),FRC(Annex A),Fraction of maximum throughput,SNR[dB]
1,2,Normal,EPA 5Hz Low,A3-5,30%,-4.2
,,,,,70%,-0.4
,,,,A4-6,70%,10.8
,,,,A5-5,70%,18.3
,,,,A17-4,70%,22.6
,,,,A18-4,70%,8.5
,,,,A19-4,70%,19.5
,,,EVA 5Hz Low,A3-1,30%,-2.7
,,,,,70%,1.9
,,,,A4-1,30%,4.3
,,,,,70%,11.4
,,,,A5-1,70%,18.8
,,,EVA 70Hz Low,A3-5,30%,-4.1
,,,,,70%,0.1
,,,,A4-6,30%,4.5
,,,,,70%,12.6
,,,ETU 70Hz* Low,A3-1,30%,-2.5
,,,,,70%,2.4
,,,ETU 300Hz* Low,A3-1,30%,-2.2
,,,,,70%,2.9
,,Extended,ETU 70Hz* Low,A4-2,30%,4.8
,,,,,70%,13.6
,4,Normal,EPA 5Hz Low,A3-5,30%,-6.8
,,,,,70%,-3.5
,,,,A4-6,70%,7.5
,,,,A5-5,70%,14.7
,,,,A17-4,70%,19.2
,,,,A18-4,70%,5.3
,,,,A19-4,70%,15.8
,,,EVA 5Hz Low,A3-1,30%,-5.0
,,,,,70%,-1.2
,,,,A4-1,30%,1.2
,,,,,70%,7.9
,,,,A5-1,70%,15.5
,,,EVA 70Hz Low,A3-5,30%,-6.7
,,,,,70%,-2.9
,,,,A4-6,30%,0.7
,,,,,70%,8.0
,,,ETU 70Hz* Low,A3-1,30%,-4.8
,,,,,70%,-0.9
,,,ETU 300Hz* Low,A3-1,30%,-4.6
,,,,,70%,-0.6
,,,ETU 600Hz** Low,A13-4,30%,-1.0
,,,,,70%,6.2
,,Extended,ETU 70Hz* Low,A4-2,30%,1.7
,,,,,70%,10.3
,8,Normal,EPA 5Hz Low,A3-5,30%,-9.8
,,,,,70%,-6.7
,,,,A4-6,70%,4.2
,,,,A5-5,70%,11.5
,,,,A17-4,70%,15.9
,,,,A18-4,70%,2.1
,,,,A19-4,70%,12.5
,,,EVA 5Hz Low,A3-1,30%,-6.9
,,,,,70%,-3.8
,,,,A4-1,30%,-1.7
,,,,,70%,4.5
,,,,A5-1,70%,11.9
,,,EVA 70Hz Low,A3-5,30%,-9.7
,,,,,70%,-6.2
,,,,A4-6,30%,-2.6
,,,,,70%,4.7
,,,ETU 70Hz* Low,A3-1,30%,-6.8
,,,,,70%,-3.6
,,,ETU 300Hz* Low,A3-1,30%,-6.8
,,,,,70%,-3.3
,,Extended,ETU 70Hz* Low,A4-2,30%,-1.1
,,,,,70%,6.5
"Note*:Not applicable for Local Area BS and Home BS.Note**:Not applicable for Local Area BS and Home BS, and only applicable for BS supporting ETU600.",,,,,,
