Reference channel,A5-1,A5-2,A5-3,A5-4,A5-5,A5-6,A5-7
Allocated resource blocks,1,6,15,25,50,75,100
DFT-OFDM Symbols per subframe,12,12,12,12,12,12,12
Modulation,64QAM,64QAM,64QAM,64QAM,64QAM,64QAM,64QAM
Code rate,5/6,5/6,5/6,5/6,5/6,5/6,5/6
Payload size (bits),712,4392,11064,18336,36696,55056,75376
Transport block CRC (bits),24,24,24,24,24,24,24
Code block CRC size (bits),0,0,24,24,24,24,24
Number of code blocks - C,1,1,2,3,6,9,13
Coded block size including 12bits trellis termination (bits),2220,13260,16716,18444,18444,18444,17484
Total number of bits per sub-frame,864,5184,12960,21600,43200,64800,86400
Total symbols per sub-frame,144,864,2160,3600,7200,10800,14400
