Clause number,Requirement,Comments
5.5,Operating bands,Some bands may be applied regionally.
5.6,Channel bandwidth,Some channel bandwidths may be applied regionally.
5.7,Channel arrangement,The requirement is applied according to what operating bands in clause 5.5 that are supported by the BS.
6.2,Base station maximum output power,"In certain regions, the minimum requirement for normal conditions may apply also for some conditions outside the range of conditions defined as normal."
6.2.2,Additional requirement (regional),"For Band 34 and Band 41 operation in certain regions, the rated output power declared by the manufacturer shall be less than or equal to the values specified in Table 6.2.2-1 and 6.2.2-2, respectively.In addition for Band 46 operation, the BS may have to comply with the applicable BS power limits established regionally, when deployed in regions where those limits apply and under the conditions declared by the manufacturer."
6.6.0,Unwanted emissions for LTE based 5G terrestrial broadcast,For LTE based 5G terrestrial broadcast BS additional regional requirements may apply according to the references in Table 6.6-1.
6.6.1.1,Occupied bandwidth,"For Band 46 operation in certain regions, the occupied bandwidth for each 20MHz channel bandwidth E-UTRA carrier shall be less than or equal to 19MHz or 19.7MHz."
6.6.2,Adjacent Channel Leakage power Ratio (ACLR),"For LTE based 5G terrestrial broadcast BS, the ACLR shall be no less than 45 dB in addition to the applicable ACLR requirements according to regional regulations."
6.6.3.1,Operating band unwanted emissions (Category A),"This requirement is mandatory for regions where Category A limits for spurious emissions, as defined in ITU-R Recommendation SM.329 [2] apply."
6.6.3.2,Operating band unwanted emissions (Category B),"This requirement is mandatory for regions where Category B limits for spurious emissions, as defined in ITU-R Recommendation SM.329 [2], apply."
6.6.3.3,Additional requirements,"These requirements may apply in certain regions as additional Operating band unwanted emission limits.In addition for Band 46 operation, the BS may have to comply with the applicable operating band unwanted emission limits established regionally, when deployed in regions where those limits apply and under the conditions declared by the manufacturer."
6.6.3.4,Additional requirements for LTE based 5G terrestrial broadcast,These requirements for LTE based 5G terrestrial broadcast BS may apply in certain regions as additional Operating band unwanted emission limits.
6.6.4.1.1,Spurious emissions (Category A),"This requirement is mandatory for regions where Category A limits for spurious emissions, as defined in ITU-R Recommendation SM.329 [2] apply."
6.6.4.1.2,Spurious emissions (Category B),"This requirement is mandatory for regions where Category B limits for spurious emissions, as defined in ITU-R Recommendation SM.329 [2], apply."
6.6.4.3,Additional spurious emission requirements,"These requirements may be applied for the protection of system operating in frequency ranges other than the E-UTRA BS operating band.In addition for Band 46 operation, the BS may have to comply with the applicable spurious emission limits established regionally, when deployed in regions where those limits apply and under the conditions declared by the manufacturer."
6.6.4.4,Co-location with other base stations,These requirements may be applied for the protection of other BS receivers when a BS operating in another frequency band is co-located with an E-UTRA BS.
6.6.4.5,Additional transmitter spurious emissions requirements for LTE based 5G terrestrial broadcast,These requirements for LTE based 5G terrestrial broadcast BS may apply in certain regions as additional spurious emission requirements.
6.7.2,Additional requirements,These requirements may apply in certain regions.
7.6.2,Co-location with other base stations,These requirements may be applied for the protection of the BS receiver when a BS operating in another frequency band is co-located with an EUTRA BS.
