Number of TX antennas,Number of RX antennas,Propagation conditions andcorrelation matrix (Annex B),Frequency offset,SNR [dB],,,
,,,,Burst format 0,Burst format 1,Burst format 2,Burst format 3
1,2,AWGN,0,-14.1,-14.2,-16.3,-16.6
,,ETU 70 Low,270 Hz,-7.4,-7.3,-9.3,-9.5
,,AWGN,625 Hz,-12.4,-12.3,-14.4,-14.4
,,AWGN,1340 Hz,-13.4,-13.5,-15.5,-15.7
,4,AWGN,0,-16.9,-16.6,-18.9,-18.8
,,ETU 70 Low,270 Hz,-11.8,-11.4,-13.7,-13.7
,,AWGN,625 Hz,-14.9,-14.6,-16.8,-16.8
,,AWGN,1340 Hz,-15.9,-15.5,-17.8,-17.8
,8,AWGN,0,-19.3,-19.1,-20.9,-21.0
,,ETU 70 Low,270 Hz,-15.6,-15.1,-17.0,-17.0
,,AWGN,625 Hz,-17.7,-17.4,-19.3,-19.4
,,AWGN,1340 Hz,-18.7,-18.4,-20.5,-20.5
