NB-IoTchannel bandwidth [MHz],Reference measurement channel,Wanted signal mean power [dBm],Interfering signal mean power [dBm] / BWChannel,Type of interfering signal
3(Note 1),FRC A15-1 in Annex A.15,-55.2,-39.7,AWGN
,FRC A15-2 in Annex A.15,-61.1,,
5,FRC A15-1 in Annex A.15,-55.2,-37.5,AWGN
,FRC A15-2 in Annex A.15,-61.1,,
10,FRC A15-1 in Annex A.15,-55.2,-34.5,AWGN
,FRC A15-2 in Annex A.15,-61.1,,
15,FRC A15-1 in Annex A.15,-55.2,-32.7,AWGN
,FRC A15-2 in Annex A.15,-61.1,,
20,FRC A15-1 in Annex A.15,-55.2,-31.5,AWGN
,FRC A15-2 in Annex A.15,-61.1,,
Note 1:3 MHz channel bandwidth is not applicable to guard band operation.,,,,
