Reference channel,A25-1,A25-2
Diversity,No,No
Allocated resource blocks,1,1
Number of subcarriers,2 out of 3,2 out of 3
DFT-OFDM Symbols per subframe,12,12
Modulation,π/2 BPSK,π/2 BPSK
Code rate,1/3,1/3
MCS index,0,0
Payload size (bits),32,88
Transport block CRC (bits),24,24
Code block CRC size (bits),0,0
Number of code blocks - C,1,1
Total number of bits per resource unit,96*2,96*2
Total symbols per resource unit,96*2,96*2
Frequency offset,0,0
Number of RUs,1,2
Tx time (ms),8,16
