Parameter,,Unit,Wanted intra-cell UEs (Note 1),,Inter-cell interfering UE
,,,UE1,UE2,
Cyclic Prefix,,,Normal,,
Uplink-downlink allocation for TDD,,,Configuration 1 (2:2),,
Maximum number of HARQ transmissions,,,4,,N/A
RV sequence,,,"0, 2, 3, 1, 0, 2, 3, 1",,N/A
Cell Id,,,0,,1
Inter-cell interference model,,,N/A,,As specified in clause B.6.2
DIP (Note 2),Set 1,dB,N/A,,-5.45
,Set 2,dB,N/A,,-0.43
Relative power of intra-cell UEs (Note 3),Set 1,dB,0,0,N/A
,Set 2,dB,0,3,N/A
Time offset,,us,-1,1,0
Frequency offset,,Hz,-200,200,0
Demodulation reference signal for PUSCH,,,0,6,0
,",",,"=0,  =0Group hopping and sequence hopping are disabled.",,
"Note 1:Two intra-cell UEs, i.e., UE1 and UE2, are configured for tests with 2 RX antennas.Note 2:The respective received energy of each inter-cell interferer relative to   is defined by its associated DIP value as specified in clause B.6.1. DIP set 1 and set 2 are derived respectively in homogeneous and heterogeneous network scenarios.Note 3:For set 1, equal average received signal energy is configured for the intra-cell UEs, while short-term variation remains. For set 2, the average received signal energy of UE2 is 3 dB higher than that of UE1.",,,,,
