Number of TX antennas,Number of RX antennas,Cyclic prefix,Propagation conditions and correlation matrix (Annex B),FRC(Annex A),Fraction of maximum throughput,SNR[dB]
1,2,Normal,EPA 5Hz Low,A3-6,30%,-4.5
,,,,,70%,-0.8
,,,,A4-7,70%,11.3
,,,,A5-6,70%,18.8
,,,,A17-5,70%,22.8
,,,,A18-5,70%,9.4
,,,,A19-5,70%,21.4
,,,EVA 5Hz Low,A3-1,30%,-2.8
,,,,,70%,1.8
,,,,A4-1,30%,4.2
,,,,,70%,11.4
,,,,A5-1,70%,18.7
,,,EVA 70Hz Low,A3-6,30%,-4.5
,,,,,70%,-0.3
,,,,A4-7,30%,4.2
,,,,,70%,12.9
,,,ETU 70Hz* Low,A3-1,30%,-2.5
,,,,,70%,2.4
,,,ETU 300Hz* Low,A3-1,30%,-2.2
,,,,,70%,2.9
,,Extended,ETU 70Hz* Low,A4-2,30%,4.9
,,,,,70%,13.6
,4,Normal,EPA 5Hz Low,A3-6,30%,-7.2
,,,,,70%,-3.8
,,,,A4-7,70%,7.6
,,,,A5-6,70%,15.0
,,,,A17-5,70%,18.9
,,,,A18-5,70%,5.9
,,,,A19-5,70%,17.1
,,,EVA 5Hz Low,A3-1,30%,-5.0
,,,,,70%,-1.2
,,,,A4-1,30%,1.2
,,,,,70%,7.9
,,,,A5-1,70%,15.7
,,,EVA 70Hz Low,A3-6,30%,-7.0
,,,,,70%,-3.3
,,,,A4-7,30%,0.7
,,,,,70%,8.5
,,,ETU 70Hz* Low,A3-1,30%,-4.8
,,,,,70%,-1.0
,,,ETU 300Hz* Low,A3-1,30%,-4.6
,,,,,70%,-0.6
,,,ETU 600Hz** Low,A13-5,30%,-0.9
,,,,,70%,6.4
,,Extended,ETU 70Hz* Low,A4-2,30%,1.6
,,,,,70%,10.1
,8,Normal,EPA 5Hz Low,A3-6,30%,-10.4
,,,,,70%,-7.3
,,,,A4-7,70%,4.4
,,,,A5-6,70%,11.8
,,,,A17-5,70%,15.5
,,,,A18-5,70%,2.8
,,,,A19-5,70%,13.8
,,,EVA 5Hz Low,A3-1,30%,-7.1
,,,,,70%,-4.0
,,,,A4-1,30%,-1.7
,,,,,70%,4.4
,,,,A5-1,70%,11.7
,,,EVA 70Hz Low,A3-6,30%,-10.1
,,,,,70%,-6.8
,,,,A4-7,30%,-2.5
,,,,,70%,5.0
,,,ETU 70Hz* Low,A3-1,30%,-7.0
,,,,,70%,-3.6
,,,ETU 300Hz* Low,A3-1,30%,-6.9
,,,,,70%,-3.3
,,Extended,ETU 70Hz* Low,A4-2,30%,-1.1
,,,,,70%,6.7
"Note*:Not applicable for Local Area BS and Home BS.Note**: Not applicable for Local Area BS and Home BS, and only applicable for BS supporting ETU600.",,,,,,
