RF requirement,Clause in the present document,Alternative clause in TS 37.104 [15]
Base station output power,6.2.16.2.2,6.2.1 6.2.2
Transmit ON/OFF power,6.4,6.4
Unwanted emissions,,
Transmitter spurious emissions,6.6.4,6.6.1 (except for 6.6.1.1.3)
Operating band unwanted emissions,"6.6.3.1, 6.6.3.2(NOTE 1)",6.6.2 (except for 6.6.2.3 and 6.6.2.4)
Transmitter intermodulation,6.7,6.7.1
Narrowband blocking,7.5.1,7.4.2
Blocking,7.6.1.1,7.4.1
Out-of-band blocking,7.6.1.1,7.5.1
Co-location with other base stations,7.6.2.1,7.5.2
Receiver spurious emissions,7.7.1,7.6.1
Intermodulation,7.8.1,7.7.1
Narrowband intermodulation,7.8.1,7.7.2
NOTE 1:This does not apply when the lowest or highest carrier frequency is configured as 1.4 or 3 MHz carrier in bands of Band Category 1 or 3 according to clause 4.5 in TS 37.104 [15].,,
