Number of TX antennas,Number of RX antennas,Cyclic prefix,Propagation conditions and correlation matrix (Annex B),FRC(Annex A),Fraction of maximum throughput,SNR[dB]
1,2,Normal,EPA 5Hz Low,A3-3,30%,-4.1
,,,,,70%,0.1
,,,,A4-4,70%,10.9
,,,,A5-3,70%,18.1
,,,,A17-2,70%,22.0
,,,,A18-2,70%,7.4
,,,,A19-2,70%,17.9
,,,EVA 5Hz Low,A3-1,30%,-2.8
,,,,,70%,1.8
,,,,A4-1,30%,4.3
,,,,,70%,11.5
,,,,A5-1,70%,18.8
,,,EVA 70Hz Low,A3-3,30%,-4.0
,,,,,70%,0.6
,,,,A4-4,30%,4.7
,,,,,70%,12.5
,,,ETU 70Hz* Low,A3-1,30%,-2.5
,,,,,70%,2.4
,,,ETU 300Hz* Low,A3-1,30%,-2.2
,,,,,70%,2.9
,,Extended,ETU 70Hz* Low,A4-2,30%,4.7
,,,,,70%,13.5
,4,Normal,EPA 5Hz Low,A3-3,30%,-6.8
,,,,,70%,-3.4
,,,,A4-4,70%,7.7
,,,,A5-3,70%,14.4
,,,,A17-2,70%,18.7
,,,,A18-2,70%,4.0
,,,,A19-2,70%,14.0
,,,EVA 5Hz Low,A3-1,30%,-5.0
,,,,,70%,-1.3
,,,,A4-1,30%,1.2
,,,,,70%,7.8
,,,,A5-1,70%,15.4
,,,EVA 70Hz Low,A3-3,30%,-6.5
,,,,,70%,-2.9
,,,,A4-4,30%,1.6
,,,,,70%,8.7
,,,ETU 70Hz* Low,A3-1,30%,-4.8
,,,,,70%,-0.9
,,,ETU 300Hz* Low,A3-1,30%,-4.6
,,,,,70%,-0.6
,,,ETU 600Hz** Low,A13-2,30%,-1.1
,,,,,70%,5.8
,,Extended,ETU 70Hz* Low,A4-2,30%,1.5
,,,,,70%,9.9
,8,Normal,EPA 5Hz Low,A3-3,30%,-9.6
,,,,,70%,-6.6
,,,,A4-4,70%,4.1
,,,,A5-3,70%,11.1
,,,,A17-2,70%,15.6
,,,,A18-2,70%,1.3
,,,,A19-2,70%,11.0
,,,EVA 5Hz Low,A3-1,30%,-7.1
,,,,,70%,-4.0
,,,,A4-1,30%,-1.6
,,,,,70%,4.4
,,,,A5-1,70%,11.7
,,,EVA 70Hz Low,A3-3,30%,-9.3
,,,,,70%,-5.9
,,,,A4-4,30%,-2.8
,,,,,70%,4.8
,,,ETU 70Hz* Low,A3-1,30%,-7.0
,,,,,70%,-3.7
,,,ETU 300Hz* Low,A3-1,30%,-6.8
,,,,,70%,-3.3
,,Extended,ETU 70Hz* Low,A4-2,30%,-1.2
,,,,,70%,6.5
"Note*:Not applicable for Local Area BS and Home BS.Note**:Not applicable for Local Area BS and Home BS, and only applicable for BS supporting ETU600.",,,,,,
