Parameter,,,Unit,,Tested signal,,Interferer 1 (Note 1),,Interferer 2 (Note 1),
Maximum number of HARQ transmissions,,,,,4,,N/A,,N/A,
RV sequence,,,,,"0, 2, 3, 1, 0, 2, 3, 1",,N/A,,N/A,
DIP (Note 2),,Set 1,dB,,N/A,,-1.11,,-10.91,
,,Set 2,dB,,N/A,,-0.43,,-13.78,
Cell Id,,,,,0,,1,,2,
Interference model,,,,,N/A,,As specified in clause B.6.2,,As specified in clause B.6.2,
Cyclic Prefix,,,,,Normal,,,,,
Uplink-downlink allocation for TDD,,,,,Configuration 1 (2:2),,,,,
Demodulation reference signal for PUSCH,,,,,"=0,  =0,  =0Group hopping and sequence hopping are disabled.",,,,,
"Note 1:One explicit interferer, i.e., interferer 1, is modelled for tests with 2 RX antennas. Two explicit interferers are modelled for tests with 4 or 8 RX antennas.Note 2:The respective received energy of each interferer relative to   is defined by its associated DIP value as specified in clause B.6.1. DIP set 1 and set 2 are derived respectively in homogeneous and heterogeneous network scenarios.Note 3:All cells are time-synchronous.",,,,,,,,,,
