Reference channel,A2-1,A2-2,A2-3,A2-4,A2-5
Allocated resource blocks,6,15,25,101,102
DFT-OFDM Symbols per subframe,12,12,12,12,12
Modulation,16QAM,16QAM,16QAM,16QAM,16QAM
Code rate,2/3,2/3,2/3,2/3,2/3
Payload size (bits),2344,5992,9912,4008,4008
Transport block CRC (bits),24,24,24,24,24
Code block CRC size (bits),0,0,24,0,0
Number of code blocks - C,1,1,2,1,1
Coded block size including 12bits trellis termination (bits),7116,18060,14988,12108,12108
Total number of bits per sub-frame,3456,8640,14400,5760,5760
Total symbols per sub-frame,864,2160,3600,1440,1440
"NOTE 1:For reference channel A2-4, the allocated RB's are uniformly spaced over the channel bandwidth at RB index N, N+5, N+10, ..., N+45 where N = {0, 1, 2, 3, 4}.NOTE 2:For reference channel A2-5, the allocated RB's are uniformly spaced over the channel bandwidth at RB index N, N+10, N+20, ..., N+90 where N = {0, 1, 2, … 9}.",,,,,
