E-UTRAchannel bandwidth of the lowest/highest carrier received [MHz],Wanted signal mean power [dBm],Interfering signal mean power [dBm],Interfering RB centre frequency offset to the lower/higher Base Station RF Bandwidth edge or sub-block edge inside a sub-block gap [kHz],Type of interfering signal
1.4,PREFSENS + 6dB*,−47,±270,CW
,,−47,±790,"1.4 MHz E-UTRA signal, 1 RB**"
3,PREFSENS + 6dB*,−47,±270,CW
,,−47,±780,"3.0 MHz E-UTRA signal, 1 RB**"
5,PREFSENS + 6dB*,−47,±360,CW
,,−47,±1060,"5 MHz E-UTRA signal, 1 RB**"
10,PREFSENS + 6dB*(***),−47,±325,CW
,,−47,±1240,"5 MHz E-UTRA signal, 1 RB**"
15,PREFSENS + 6dB*(***),−47,±380,CW
,,−47,±1600,"5MHz E-UTRA signal, 1 RB**"
20,PREFSENS + 6dB*(***),−47,±345,CW
,,−47,±1780,"5MHz E-UTRA signal, 1 RB**"
"Note*:PREFSENS is related to the channel bandwidth as specified in Table 7.2.1-4.Note**:Interfering signal consisting of one resource block positioned at the stated offset, the channel bandwidth of the interfering signal is located adjacently to the lower/upper Base Station RF Bandwidth edge.Note***:This requirement shall apply only for a FRC A1-3 mapped to the frequency range at the channel edge adjacent to the interfering signals.",,,,
