Reference channel,A7-1,A7-2,A7-3,A7-4,A7-5,A7-6
Allocated resource blocks,3,6,12,25,25,25
DFT-OFDM Symbols per subframe,12,12,12,12,12,12
Modulation,16QAM,16QAM,16QAM,16QAM,16QAM,16QAM
Code rate,3/4,3/4,3/4,3/4,3/4,3/4
Payload size (bits),1288,2600,5160,10680,10680,10680
Transport block CRC (bits),24,24,24,24,24,24
Code block CRC size (bits),0,0,0,24,24,24
Number of code blocks - C,1,1,1,2,2,2
Coded block size including 12bits trellis termination (bits),3948,7884,15564,16140,16140,16140
Total number of bits per sub-frame,1728,3456,6912,14400,14400,14400
Total symbols per sub-frame,432,864,1728,3600,3600,3600
"SRS bandwidth configuration (See TS 36.211, 5.5.3) (Note 1)",7,5,3,2,5,2
"SRS-Bandwidth b (See TS 36.211, 5.5.3) (Note 1, 2)",0,0,0,0,0,1
NOTE 1. The transmission of SRS is optionalNOTE 2. PUSCH resource blocks shall be included in SRS resource blocks,,,,,,
