Number of TX antennas,Number of RX antennas,Cyclic prefix,Propagation conditions and correlation matrix (Annex B),FRC(Annex A),Fraction of maximum throughput,SNR[dB]
1,2,Normal,EPA 5Hz Low,A3-7,30%,-4.2
,,,,,70%,-0.4
,,,,A4-8,70%,11.5
,,,,A5-7,70%,19.7
,,,,A17-6,70%,23.7
,,,,A18-6,70%,9.3
,,,,A19-6,70%,21.0
,,,EVA 5Hz Low,A3-1,30%,-2.7
,,,,,70%,1.8
,,,,A4-1,30%,4.3
,,,,,70%,11.5
,,,,A5-1,70%,18.7
,,,EVA 70Hz Low,A3-7,30%,-4.1
,,,,,70%,0.2
,,,,A4-8,30%,4.2
,,,,,70%,13.0
,,,ETU 70Hz* Low,A3-1,30%,-2.4
,,,,,70%,2.4
,,,ETU 300Hz* Low,A3-1,30%,-2.1
,,,,,70%,2.9
,,Extended,ETU 70Hz* Low,A4-2,30%,4.7
,,,,,70%,13.6
,4,Normal,EPA 5Hz Low,A3-7,30%,-6.8
,,,,,70%,-3.5
,,,,A4-8,70%,7.5
,,,,A5-7,70%,15.9
,,,,A17-6,70%,19.8
,,,,A18-6,70%,5.7
,,,,A19-6,70%,16.6
,,,EVA 5Hz Low,A3-1,30%,-5.1
,,,,,70%,-1.3
,,,,A4-1,30%,1.2
,,,,,70%,7.9
,,,,A5-1,70%,15.6
,,,EVA 70Hz Low,A3-7,30%,-6.7
,,,,,70%,-2.9
,,,,A4-8,30%,0.7
,,,,,70%,8.6
,,,ETU 70Hz* Low,A3-1,30%,-4.4
,,,,,70%,-0.9
,,,ETU 300Hz* Low,A3-1,30%,-4.6
,,,,,70%,-0.7
,,,ETU 600Hz** Low,A13-6,30%,-0.9
,,,,,70%,6.4
,,Extended,ETU 70Hz* Low,A4-2,30%,1.6
,,,,,70%,10.0
,8,Normal,EPA 5Hz Low,A3-7,30%,-9.7
,,,,,70%,-6.7
,,,,A4-8,70%,4.3
,,,,A5-7,70%,12.5
,,,,A17-6,70%,16.3
,,,,A18-6,70%,2.6
,,,,A19-6,70%,13.2
,,,EVA 5Hz Low,A3-1,30%,-7.0
,,,,,70%,-3.9
,,,,A4-1,30%,-1.7
,,,,,70%,4.6
,,,,A5-1,70%,12.0
,,,EVA 70Hz Low,A3-7,30%,-9.7
,,,,,70%,-6.1
,,,,A4-8,30%,-2.2
,,,,,70%,4.9
,,,ETU 70Hz* Low,A3-1,30%,-6.9
,,,,,70%,-3.5
,,,ETU 300Hz* Low,A3-1,30%,-6.8
,,,,,70%,-3.3
,,Extended,ETU 70Hz* Low,A4-2,30%,-1.2
,,,,,70%,6.5
"Note*:Not applicable for Local Area BS and Home BS.Note**:Not applicable for Local Area BS and Home BS, and only applicable for BS supporting ETU600.",,,,,,
