UE DL Category,UE UL Category,Total layer 2 buffer size [bytes],With support for split bearers [bytes]
DL Category M1 (Note 1),UL Category M1,20 000 or 40 000,N/A
DL Category M2,UL Category M2,100 000,N/A
DL Category 0,UL Category 0,20 000,N/A
DL Category 1bis,UL Category 1bis,150 000,230 000
DL Category 4,UL Category 5,2 200 000,3 300 000
DL Category 6,UL Category 5,3 500 000,6 000 000
DL Category 6,UL Category 16,3 800 000,6 300 000
DL Category 7,UL Category 13,4 200 000,6 700 000
DL Category 7,UL Category 18,4 800 000,7 300 000
DL Category 9,UL Category 5,5 000 000,7 400 000
DL Category 9,UL Category 16,5 200 000,7 700 000
DL Category 10,UL Category 13,5 700 000,8 100 000
DL Category 10,UL Category 18,6 200 000,8 700 000
DL Category 11,UL Category 5,6 400 000,11 300 000
DL Category 11,UL Category 16,6 600 000,11 500 000
DL Category 12,UL Category 13,7 100 000,12 000 000
DL Category 12,UL Category 15,7 700 000,12 600 000
DL Category 12,UL Category 18,7 600 000,12 500 000
DL Category 12,UL Category 20,8 600 000,13 500 000
DL Category 13,UL Category 3,4 200 000,7 300 000
DL Category 13,UL Category 5,4 400 000,7 600 000
DL Category 13,UL Category 7,4 700 000,7 800 000
DL Category 13,UL Category 13,5 100 000,8 300 000
DL Category 13,UL Category 16,4 700 000,7 800 000
DL Category 13,UL Category 18,5 700 000,8 800 000
DL Category 14,UL Category 8,50 800 000,76 200 000
DL Category 14,UL Category 17,56 600 000,82 000 000
DL Category 15,UL Category 3,8 000 000,13 000 000
DL Category 15,UL Category 5,8 200 000,13 400 000
DL Category 15,UL Category 7,8 500 000,13 600 000
DL Category 15,UL Category 13,8 900 000,14 100 000
DL Category 15,UL Category 16,8 500 000,13 700 000
DL Category 15,UL Category 18,9 500 000,14 700 000
DL Category 16,UL Category 3,10 000 000,17 000 000
DL Category 16,UL Category 5,10 600 000,17 400 000
DL Category 16,UL Category 7,10 800 000,17 600 000
DL Category 16,UL Category 13,11 000 000,18 100 000
DL Category 16,UL Category 15,12 000 000,18 800 000
DL Category 16,UL Category 16,8 500 000,13 700 000
DL Category 16,UL Category 18,11 800 000,18 700 000
DL Category 16,UL Category 20,12 800 000,19 700 000
DL Category 17,UL Category 14,330 000 000,530 000 000
DL Category 17,UL Category 19,360 000 000,530 000 000
DL Category 18,UL Category 3,11 800 000,21 600 000
DL Category 18,UL Category 5,12 000 000,21 800 000
DL Category 18,UL Category 7,12 300 000,22 100 000
DL Category 18,UL Category 13,12 700 000,22 500 000
DL Category 18,UL Category 15,13 400 000,23 200 000
DL Category 18,UL Category 16,12 300 000,22 100 000
DL Category 18,UL Category 18,13 300 000,23 100 000
DL Category 18,UL Category 20,14 300 000,24 100 000
DL Category 19,UL Category 3,16 000 000,28 300 000
DL Category 19,UL Category 5,16 300 000,28 500 000
DL Category 19,UL Category 7,16 500 000,28 800 000
DL Category 19,UL Category 13,17 000 000,29 200 000
DL Category 19,UL Category 15,17 700 000,29 900 000
DL Category 19,UL Category 16,16 500 000,28 800 000
DL Category 19,UL Category 18,17 500 000,29 800 000
DL Category 19,UL Category 20,18 500 000,30 800 000
DL Category 19,UL Category 21,18 400 000,30 600 000
DL Category 20,UL Category 3,19 400 000,35 800 000
DL Category 20,UL Category 5,19 600 000,36 000 000
DL Category 20,UL Category 7,19 900 000,36 300 000
DL Category 20,UL Category 13,20 300 000,36 800 000
DL Category 20,UL Category 15,21 100 000,37 500 000
DL Category 20,UL Category 16,19 900 000,36 300 000
DL Category 20,UL Category 18,20 900 000,37 300 000
DL Category 20,UL Category 20,21 900 000,38 300 000
DL Category 20,UL Category 21,21 800 000,38 200 000
DL Category 21,UL Category 3,13 700 000,23 500 000
DL Category 21,UL Category 5,13 900 000,23 700 000
DL Category 21,UL Category 7,14 200 000,24 000 000
DL Category 21,UL Category 13,14 600 000,24 400 000
DL Category 21,UL Category 15,15 300 000,25 200 000
DL Category 21,UL Category 16,14 200 000,24 000 000
DL Category 21,UL Category 18,15 200 000,25 000 000
DL Category 21,UL Category 20,16 200 000,26 000 000
DL Category 22,UL Category 20,26 600 000,47 000 000
DL Category 22,UL Category 22,27 500 000,48 000 000
DL Category 22,UL Category 23,30 500 000,51 300 000
DL Category 22,UL Category 24,32 400 000,57 000 000
DL Category 22,UL Category 25,35 000 000,59 900 000
DL Category 22,UL Category 26,38 000 000,67 600 000
DL Category 23,UL Category 20,29 500 000,50 400 000
DL Category 23,UL Category 22,28 500 000,49 000 000
DL Category 23,UL Category 23,31 500 000,52 300 000
DL Category 23,UL Category 24,33 300 000,57 900 000
DL Category 23,UL Category 25,36 000 000,60 900 000
DL Category 23,UL Category 26,39 000 000,68 600 000
DL Category 24,UL Category 20,31 400 000,56 000 000
DL Category 24,UL Category 22,29 500 000,50 000 000
DL Category 24,UL Category 23,32 400 000,53 300 000
DL Category 24,UL Category 24,34 300 000,58 900 000
DL Category 24,UL Category 25,37 000 000,61 900 000
DL Category 24,UL Category 26,40 000 000,69 500 000
DL Category 25,UL Category 20,34 100 000,58 900 000
DL Category 25,UL Category 22,30 500 000,51 000 000
DL Category 25,UL Category 23,33 400 000,54 300 000
DL Category 25,UL Category 24,35 300 000,59 900 000
DL Category 25,UL Category 25,38 000 000,62 900 000
DL Category 25,UL Category 26,41 000 000,70 500 000
DL Category 26,UL Category 20,37 000 000,66 600 000
DL Category 26,UL Category 22,31 500 000,52 000 000
DL Category 26,UL Category 23,34 400 000,55 300 000
DL Category 26,UL Category 24,36 300 000,60 900 000
DL Category 26,UL Category 25,39 000 000,63 900 000
DL Category 26,UL Category 26,42 000 000,71 500 000
"NOTE 1:The UE supports ""Total layer 2 buffer size"" of 40 000 bytes if the UE indicates support of ce-PUSCH-NB-MaxTBS-r14. Otherwise the UE supports 20 000 bytes.",,,
