UE DL Category,Maximum number of bits of a MCH transport block received within a TTI
DL Category M1,NA
DL Category M2,NA
DL Category 0,4584
DL Category 1bis,10296
DL Category 4,75376
DL Category 6,75376
DL Category 7,75376
DL Category 9,75376
DL Category 10,75376
DL Category 11,75376 (64QAM)97896 (256QAM)
DL Category 12,75376 (64QAM)97896 (256QAM)
DL Category 13,75376 (64QAM)97896 (256QAM)
DL Category 14,75376 (64QAM)97896 (256QAM)
DL Category 15,75376 (64QAM)97896 (256QAM)
DL Category 16,75376 (64QAM)97896 (256QAM)
DL Category 17,75376 (64QAM)97896 (256QAM)
DL Category 18,75376 (64QAM)97896 (256QAM)
DL Category 19,75376 (64QAM)97896 (256QAM)
DL Category 20,75376 (64QAM)97896 (256QAM)
DL Category 21,75376 (64QAM)97896 (256QAM)
