UE DL Category,Maximum number of DL-SCH transport block bits received within a TTI (Note 1),Maximum number of bits of a DL-SCH transport block received within a TTI,Total number of soft channel bits,Maximum number of supported layers for spatial multiplexing in DL
DL Category M1 (Note 4),1000 or 1736,1000 or 1736,25344 or 43008,1
DL Category M2,4008,4008,73152,1
DL Category 0 (Note 2),1000,1000,25344,1
DL Category 1bis,10296,10296,250368,1
DL Category 4,150752,75376,1827072,2
DL Category 6,301504,"149776 (4 layers, 64QAM)75376 (2 layers, 64QAM)",3654144,2 or 4
DL Category 7,301504,"149776 (4 layers, 64QAM)75376 (2 layers, 64QAM)",3654144,2 or 4
DL Category 9,452256,"149776 (4 layers, 64QAM)75376 (2 layers, 64QAM)",5481216,2 or 4
DL Category 10,452256,"149776 (4 layers, 64QAM)75376 (2 layers, 64QAM)",5481216,2 or 4
DL Category 11,603008,"149776 (4 layers, 64QAM)195816 (4 layers, 256QAM)75376 (2 layers, 64QAM)97896 (2 layers, 256QAM)",7308288,2 or 4
DL Category 12,603008,"149776 (4 layers, 64QAM)195816 (4 layers, 256QAM)75376 (2 layers, 64QAM)97896 (2 layers, 256QAM)",7308288,2 or 4
DL Category 13,391632,"195816 (4 layers, 256QAM)97896 (2 layers, 256QAM)",3654144,2 or 4
DL Category 14,3916560,"391656 (8 layers, 256QAM)",47431680,8
DL Category 15,749856-807744 (Note 3),"149776 (4 layers, 64QAM)195816 (4 layers, 256QAM, if alternativeTBS-Index-r14 is not supported)201936 (4 layers, 256QAM, if alternativeTBS-Index-r14 is supported)75376 (2 layers, 64QAM)97896 (2 layers, 256QAM, if alternativeTBS-Index-r14 is not supported)100752 (2 layers, 256QAM, if alternativeTBS-Index-r14 is supported)",9744384,2 or 4
DL Category 16,978960 -1051360 (Note 3),"149776 (4 layers, 64QAM)195816 (4 layers, 256QAM, if alternativeTBS-Index-r14 is not supported)201936 (4 layers, 256QAM, if alternativeTBS-Index-r14 is supported)75376 (2 layers, 64QAM)97896 (2 layers, 256QAM, if alternativeTBS-Index-r14 is not supported)100752 (2 layers, 256QAM, if alternativeTBS-Index-r14 is supported)",12789504,2 or 4
DL Category 17,25065984,"391656 (8 layers, 256QAM)",303562752,8
DL Category 18,1174752-1211616 (Note 3),"299856 (8 layers, 64QAM)391656 (8 layers, 256QAM)149776 (4 layers, 64QAM)195816 (4 layers, 256QAM, if alternativeTBS-Index-r14 is not supported)201936 (4 layers, 256QAM, if alternativeTBS-Index-r14 is supported)75376 (2 layers, 64QAM)97896 (2 layers, 256QAM, if alternativeTBS-Index-r14 is not supported)100752 (2 layers, 256QAM, if alternativeTBS-Index-r14 is supported)",14616576,2 or 4 or 8
DL Category 19,1566336 -1658272 (Note 3),"299856 (8 layers, 64QAM)391656 (8 layers, 256QAM)149776 (4 layers, 64QAM)195816 (4 layers, 256QAM, if alternativeTBS-Index-r14 is not supported)201936 (4 layers, 256QAM, if alternativeTBS-Index-r14 is supported)75376 (2 layers, 64QAM)97896 (2 layers, 256QAM, if alternativeTBS-Index-r14 is not supported)100752 (2 layers, 256QAM, if alternativeTBS-Index-r14 is supported)",19488768,2 or 4 or 8
