UE DL Category,UE UL Category,UE categories,Maximum UE channel bandwidth [MHz]
DL Category 0,UL Category 0,N/A,According to maximum channel bandwidth specified per band in TS 36.101 [6].
DL Category 1bis,UL Category 1bis,Category 1 (NOTE 1),
DL Category 4,UL Category 5,Category 4,
DL Category 6,UL Category 5,"Category 6, 4",
DL Category 6,UL Category 16,"Category 6, 4DL Category 6 and UL Category 5",
DL Category 7,UL Category 13,"Category 7, 4",
DL Category 7,UL Category 18,"Category 7, 4DL Category 7 and UL Category 13",
DL Category 9,UL Category 5,"Category 9, 6, 4",
DL Category 9,UL Category 16,"Category 9, 6, 4DL Category 9 and UL Category 5",
DL Category 10,UL Category 13,"Category 10, 7, 4",
DL Category 10,UL Category 18,"Category 10, 7, 4DL Category 10 and UL Category 13",
DL Category 11,UL Category 5,"Category 11, 9, 6, 4",
DL Category 11,UL Category 16,"Category 11, 9, 6, 4DL Category 11 and UL Category 5",
DL Category 12,UL Category 13,"Category 12, 10, 7, 4",
DL Category 12,UL Category 15,"Category 12, 10, 7, 4DL Category 12 and UL Category 13",
DL Category 12,UL Category 18,"Category 12, 10, 7, 4DL Category 12 and UL Category 13",
DL Category 12,UL Category 20,"Category 12, 10, 7, 4DL Category 12 and UL Category 13DL Category 12 and UL Category 15",
DL Category 13,UL Category 3,"Category 6, 4Category 9 (if supported)",
DL Category 13,UL Category 5,"Category 6, 4Category 9 (if supported)",
DL Category 13,UL Category 7,"Category 7, 4Category 10 (if supported)",
DL Category 13,UL Category 13,"Category 7, 4Category 10 (if supported)",
DL Category 13,UL Category 16,"Category 6, 4DL Category 13 and UL Category 5",
DL Category 13,UL Category 18,"Category 7, 4DL Category 13 and UL Category 13",
DL Category 14,UL Category 8,"Category 8, 5",
DL Category 14,UL Category 17,"Category 8, 5DL Category 14 and UL Category 8",
DL Category 15,UL Category 3,"Category 11, 9, 6, 4",
DL Category 15,UL Category 5,"Category 11, 9, 6, 4DL Category 11 and UL Category 5",
DL Category 15,UL Category 7,"Category 12, 10, 7, 4",
DL Category 15,UL Category 13,"Category 12, 10, 7, 4DL Category 12 and UL Category 13",
DL Category 15,UL Category 16,"Category 11, 9, 6, 4DL Category 11 and UL Category 5DL Category 15 and UL Category 5",
DL Category 15,UL Category 18,"Category 12, 10, 7, 4DL Category 12 and UL Category 13DL Category 15 and UL Category 13",
DL Category 16,UL Category 3,"Category 11, 9, 6, 4",
DL Category 16,UL Category 5,"Category 11, 9, 6, 4DL Category 11 and UL Category 5",
DL Category 16,UL Category 7,"Category 12, 10, 7, 4",
DL Category 16,UL Category 13,"Category 12, 10, 7, 4DL Category 12 and UL Category 13",
DL Category 16,UL Category 15,"Category 12, 10, 7, 4DL Category 16,12 and UL Category 13",
DL Category 16,UL Category 16,"Category 11, 9, 6, 4DL Category 11 and UL Category 5DL Category 16 and UL Category 5",
DL Category 16,UL Category 18,"Category 12, 10, 7, 4DL Category 12 and UL Category 13DL Category 16 and UL Category 13",
DL Category 16,UL Category 20,"Category 12, 10, 7, 4DL Category 12 and UL Category 13DL Category 16 and UL Category 13DL Category 16 and UL Category 15",
DL Category 17,UL Category 14,"Category 8, 5DL Category 14 and UL Category 8",
DL Category 17,UL Category 19,"Category 8, 5DL Category 14 and UL Category 8DL Category 17 and UL Category 14",
DL Category 18,UL Category 3,"Category 11, 9, 6, 4DL Category 16 and UL Category 3",
DL Category 18,UL Category 5,"Category 11, 9, 6, 4DL Category 16, 11 and UL Category 5",
DL Category 18,UL Category 7,"Category 12, 10, 7, 4DL Category 16 and UL Category 7",
DL Category 18,UL Category 13,"Category 12, 10, 7, 4DL Category 16, 12 and UL Category 13",
DL Category 18,UL Category 15,"Category 12, 10, 7, 4DL Category 16,12 and UL Category 13",
DL Category 18,UL Category 16,"Category 11, 9, 6, 4DL Category 11 and UL Category 5DL Category 16 and UL Category 5DL Category 18 and UL Category 5",
DL Category 18,UL Category 18,"Category 12, 10, 7, 4DL Category 12 and UL Category 13DL Category 16 and UL Category 13",
DL Category 18,UL Category 20,"Category 12, 10, 7, 4DL Category 12 and UL Category 13DL Category 16 and UL Category 13DL Category 18 and UL Category 15",
DL Category 19,UL Category 3,"Category 11, 9, 6, 4DL Category 16 and UL Category 3",
DL Category 19,UL Category 5,"Category 11, 9, 6, 4DL Category 16, 11 and UL Category 5",
DL Category 19,UL Category 7,"Category 12, 10, 7, 4DL Category 16 and UL Category 7",
DL Category 19,UL Category 13,"Category 12, 10, 7, 4DL Category 16, 12 and UL Category 13",
DL Category 19,UL Category 15,"Category 12, 10, 7, 4DL Category 16,12 and UL Category 13",
DL Category 19,UL Category 16,"Category 11, 9, 6, 4DL Category 11 and UL Category 5DL Category 16 and UL Category 5DL Category 19 and UL Category 5",
DL Category 19,UL Category 18,"Category 12, 10, 7, 4DL Category 12 and UL Category 13DL Category 16 and UL Category 13DL Category 19 and UL Category 13",
DL Category 19,UL Category 20,"Category 12, 10, 7, 4DL Category 12 and UL Category 13DL Category 16 and UL Category 13DL Category 19 and UL Category 15",
DL Category 19,UL Category 21,"Category 12, 10, 7, 4DL Category 12 and UL Category 13DL Category 16 and UL Category 13DL Category 19 and UL Category 15",
