Parameter,Allocated resource blocks (LCRB),DFT-s-OFDM Symbols per slot (Note 1),Modulation,MCS Index (Note 2),Payload size,Transport block CRC,LDPC Base Graph,Number of code blocks per slot (Note 3),Total number of bits per slot,Total modulated symbols per slot
Unit,,,,,Bits,Bits,,,Bits,
,1,11,64QAM,18,408,16,2,1,792,132
,5,11,64QAM,18,2024,16,2,1,3960,660
,9,11,64QAM,18,3624,16,2,1,7128,1188
,10,11,64QAM,18,3968,24,1,1,7920,1320
,12,11,64QAM,18,4736,24,1,1,9504,1584
,15,11,64QAM,18,6016,24,1,1,11880,1980
,18,11,64QAM,18,7168,24,1,1,14256,2376
,24,11,64QAM,18,9480,24,1,2,19008,3168
,25,11,64QAM,18,9992,24,1,2,19800,3300
,30,11,64QAM,18,12040,24,1,2,23760,3960
,32,11,64QAM,18,12808,24,1,2,25344,4224
,36,11,64QAM,18,14344,24,1,2,28512,4752
,45,11,64QAM,18,17928,24,1,3,35640,5940
,50,11,64QAM,18,19968,24,1,3,39600,6600
,60,11,64QAM,18,24072,24,1,3,47520,7920
,64,11,64QAM,18,25608,24,1,4,50688,8448
,75,11,64QAM,18,30216,24,1,4,59400,9900
,80,11,64QAM,18,31752,24,1,4,63360,10560
,81,11,64QAM,18,32264,24,1,4,64152,10692
,90,11,64QAM,18,35856,24,1,5,71280,11880
,100,11,64QAM,18,39936,24,1,5,79200,13200
,108,11,64QAM,18,43032,24,1,6,85536,14256
,120,11,64QAM,18,48168,24,1,6,95040,15840
,128,11,64QAM,18,51216,24,1,7,101376,16896
,135,11,64QAM,18,54296,24,1,7,106920,17820
,160,11,64QAM,18,63528,24,1,8,126720,21120
,162,11,64QAM,18,64552,24,1,8,128304,21384
,180,11,64QAM,18,71688,24,1,9,142560,23760
,216,11,64QAM,18,86040,24,1,11,171072,28512
,243,11,64QAM,18,96264,24,1,12,192456,32076
,270,11,64QAM,18,108552,24,1,13,213840,35640
"NOTE 1:PUSCH mapping Type-A and single-symbol DM-RS configuration Type-1 with 2 additional DM-RS symbols, such that the DM-RS positions are set to symbols 2, 7, 11. DMRS is [TDM'ed] with PUSCH data. DM-RS symbols are not counted.NOTE 2:MCS Index is based on MCS Table 6.1.4.1-1 defined in TS 38.214 [10].NOTE 3:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit).NOTE 4:The RMCs apply to all channel bandwidth where LCRB ≤ NRB.",,,,,,,,,,
