Parameter,Unit,Value,,,,,,,,,
Channel bandwidth,MHz,10,15,20,25,30,40,50,60,80,100
Subcarrier spacing configuration,,2,2,2,2,2,2,2,2,2,2
Allocated resource blocks,,11,18,24,31,38,51,65,79,107,135
Subcarriers per resource block,,12,12,12,12,12,12,12,12,12,12
Allocated slots per Frame,,36,36,36,36,36,36,36,36,36,36
MCS Index,,23,23,23,23,23,23,23,23,23,23
MCS Table for TBS determination,,256QAM,,,,,,,,,
Modulation,,256 QAM,256 QAM,256 QAM,256 QAM,256 QAM,256 QAM,256 QAM,256 QAM,256 QAM,256 QAM
Target Coding Rate,,4/5,4/5,4/5,4/5,4/5,4/5,4/5,4/5,4/5,4/5
Maximum number of HARQ transmissions,,1,1,1,1,1,1,1,1,1,1
Information Bit Payload per Slot,,,,,,,,,,,
"For Slots 0,1,2,3",Bits,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"For Slots 4,…,39",Bits,7424,12040,16136,21000,25608,33816,44040,53288,71688,90176
Transport block CRC,Bits,24,24,24,24,24,24,24,24,24,24
LDPC base graph,,1,1,1,1,1,1,1,1,1,1
Number of Code Blocks per Slot,,,,,,,,,,,
"For Slots 0,1,2,3",CBs,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"For Slots 4,…,39",CBs,1,2,2,3,4,5,6,7,9,11
Binary Channel Bits per Slot,,,,,,,,,,,
"For Slot 0,1,2,3",Bits,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"For Slots 4,…,39",Bits,9504,15552,20736,26784,32832,44064,56160,68256,92448,116640
Max. Throughput averaged over 1 frame,Mbps,26.726,43.344,58.090,75.600,92.189,121.738,158.544,191.837,258.077,324.634
"NOTE 1:Additional parameters are specified in Table A.3.1-1 and Table A.3.2.1-1.NOTE 2:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit).NOTE 3:SS/PBCH block is transmitted in slot #0 of each frameNOTE 4:Slot i is slot index per frame",,,,,,,,,,,
