Parameter,Unit,Value,,,,,,,
Channel bandwidth,MHz,5,10,15,20,25,30,40,50
Subcarrier spacing,kHz,15,15,15,15,15,15,15,15
Subcarrier spacing configuration μ,,0,0,0,0,0,0,0,0
Allocated resource blocks,,25,52,79,106,133,160,216,270
Subcarriers per resource block,,12,12,12,12,12,12,12,12
Allocated slots per Frame,,4,4,4,4,4,4,4,4
MCS Index,,23,23,23,23,23,23,23,23
MCS table for TBS determination,,1024QAM,,,,,,,
Modulation,,1024 QAM,1024 QAM,1024 QAM,1024 QAM,1024 QAM,1024 QAM,1024 QAM,1024 QAM
Target Coding Rate,,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78
Maximum number of HARQ transmissions,,1,1,1,1,1,1,1,1
Information Bit Payload per Slot,,,,,,,,,
"For Slots 0,1,3,4,8,9",Bits,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"For Slots 2,5,6,7",Bits,21000,44040,67584,90176,112648,135296,184424,229576
Transport block CRC,Bits,24,24,24,24,24,24,24,24
LDPC base graph,,1,1,1,1,1,1,1,1
Number of Code Blocks per Slot,,,,,,,,,
"For Slots 0,1,3,4,8,9",CBs,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"For Slots 2,5,6,7",CBs,3,6,9,11,14,17,22,28
Binary Channel Bits per Slot,,,,,,,,,
"For Slots 0,1,3,4,8,9",Bits,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"For Slots 2,5,6,7",Bits,27000,56160,85320,114480,143640,172800,233280,291600
Max. Throughput averaged over 1 frame,Mbps,8.400,17.616,27.034,36.070,45.059,54.118,73.770,91.830
"NOTE 1:Additional parameters are specified in Table A.3.1-1 and Table A.3.3.1-1.NOTE 2:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit).NOTE 3:SS/PBCH block is transmitted in slot 0 of each frameNOTE 4:Slot i is slot index per frame",,,,,,,,,
