Parameter,Unit,Value,,,,,,,
Channel bandwidth,MHz,"5, 10, 15, 20 (Note 5)",10,15,20,25,30,40,50
Subcarrier spacing,kHz,15,15,15,15,15,15,15,15
Subcarrier spacing configuration,,0,0,0,0,0,0,0,0
Allocated resource blocks,,25,52,79,106,133,160,216,270
Subcarriers per resource block,,12,12,12,12,12,12,12,12
Allocated slots per Frame,,4,4,4,4,4,4,4,4
MCS Index,,4,4,4,4,4,4,4,4
MCS Table for TBS determination,,64QAM,,,,,,,
Modulation,,QPSK,QPSK,QPSK,QPSK,QPSK,QPSK,QPSK,QPSK
Target Coding Rate,,1/3,1/3,1/3,1/3,1/3,1/3,1/3,1/3
Maximum number of HARQ transmissions,,1,1,1,1,1,1,1,1
Information Bit Payload per Slot,,,,,,,,,
"For Slots 0,1,3,4,8,9",Bits,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"For Slots 2,5,6,7",Bits,1672,3368,5120,6912,8712,10504,14088,17424
Transport block CRC,Bits,16,16,24,24,24,24,24,24
LDPC base graph,,2,2,1,1,1,1,1,1
Number of Code Blocks per Slot,,,,,,,,,
"For Slots 0,1,3,4,8,9",CBs,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"For Slots 2,5,6,7",CBs,1,1,1,1,2,2,2,3
Binary Channel Bits per Slot,,,,,,,,,
"For Slots 0,1,3,4,8,9",Bits,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"For Slots 2,5,6,7",Bits,5400,11232,17064,22896,28728,34560,46656,58320
Max. Throughput averaged over 1 frame,Mbps,0.669,1.347,2.048,2.765,3.485,4.202,5.635,6.970
"NOTE 1:Additional parameters are specified in Table A.3.1-1 and Table A.3.3.1-1.NOTE 2:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit).NOTE 3:SS/PBCH block is transmitted in slot 0 of each frameNOTE 4:Slot i is slot index per frameNOTE 5:Channel bandwidths 10, 15, and 20 MHz in this column only apply to UEs supporting IE supportOfERedCap-r18 but not eRedCapNotReducedBB-BW-r18.",,,,,,,,,
