Parameter,Unit,,Value,,,,,,,,,
Channel bandwidth,MHz,10,15,20,25,30,40,50,60,70,80,100
Subcarrier spacing configuration,,2,2,2,2,2,2,2,2,2,2,2
Allocated resource blocks,,11,18,24,31,38,51,65,79,93,107,135
Subcarriers per resource block,,12,12,12,12,12,12,12,12,12,12,12
Allocated slots per Frame,,24,24,24,24,24,24,24,24,26,24,24
MCS Index,,23,23,23,23,23,23,23,23,23,23,23
MCS Table for TBS determination,,256QAM,,,,,,,,,,
Modulation,,256 QAM,256 QAM,256 QAM,256 QAM,256 QAM,256 QAM,256 QAM,256 QAM,256 QAM,256 QAM,256 QAM
Target Coding Rate,,4/5,4/5,4/5,4/5,4/5,4/5,4/5,4/5,4/5,4/5,4/5
Maximum number of HARQ transmissions,,1,1,1,1,1,1,1,1,1,1,1
Information Bit Payload per Slot,,,,,,,,,,,,
"For Slots 0,1,2,3 and Slot i, if mod(i, 20) = {14,15,16,17,18,19} for i from {0,…,39}",Bits,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"For Slot i, if mod(i, 20) = {0,…, 13} for i from {4,…,39}",Bits,7424,12040,16136,21000,25608,33816,44040,53288,62504,71688,90176
Transport block CRC,Bits,24,24,24,24,24,24,24,24,24,24,24
LDPC base graph,,1,1,1,1,1,1,1,1,1,1,1
Number of Code Blocks per Slot,,,,,,,,,,,,
"For Slots 0,1,2,3 and Slot i, if mod(i, 20) = {14,15,16,17,18,19} for i from {0,…,39}",CBs,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"For Slot i, if mod(i, 20) = {0,…, 13} for i from {4,…,39}",CBs,1,2,3,3,4,5,6,7,8,9,12
Binary Channel Bits per Slot,,,,,,,,,,,,
"For Slots 0,1,2,3 and Slot i, if mod(i, 20) = {14,15,16,17,18,19} for i from {0,…,39}",Bits,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"For Slot i, if mod(i, 20) = {0,…, 13} for i from {4,…,39}",Bits,9504,15552,20736,26784,32832,44064,56160,68256,80352,92448,116640
Max. Throughput averaged over 1 frame,Mbps,17.818,28.896,38.726,50.400,61.459,81.158,105.696,127.891,150.010,172.051,216.422
"NOTE 1:Additional parameters are specified in Table A.3.1-1 and Table A.3.3.1-1.NOTE 2:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit).NOTE 3:SS/PBCH block is transmitted in slot #0 of each frameNOTE 4:Slot i is slot index per frame",,,,,,,,,,,,
