Parameter,Unit,,Value,,,,,,,,,
Channel bandwidth,MHz,10,15,20,25,30,40,50,60,70,80,100
Subcarrier spacing configuration,,2,2,2,2,2,2,2,2,2,2,2
Allocated resource blocks,,11,18,24,31,38,51,65,79,93,107,135
Subcarriers per resource block,,12,12,12,12,12,12,12,12,12,12,12
Allocated slots per Frame,,24,24,24,24,24,24,24,24,26,24,24
MCS Index,,4,4,4,4,4,4,4,4,4,4,4
MCS Table for TBS determination,,64QAM,,,,,,,,,,
Modulation,,QPSK,QPSK,QPSK,QPSK,QPSK,QPSK,QPSK,QPSK,QPSK,QPSK,QPSK
Target Coding Rate,,1/3,1/3,1/3,1/3,1/3,1/3,1/3,1/3,1/3,1/3,1/3
Maximum number of HARQ transmissions,,1,1,1,1,1,1,1,1,1,1,1
Information Bit Payload per Slot,,,,,,,,,,,,
"For Slots 0,1,2,3 and Slot i, if mod(i, 20) = {14,15,16,17,18,19} for i from {0,…,39}",Bits,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"For Slot i, if mod(i, 20) = {0,…, 13} for i from {4,…,39}",Bits,736,1192,1608,2024,2472,3368,4224,5120,6016,6912,8712
Transport block CRC,Bits,16,16,16,16,16,16,24,24,24,24,24
LDPC base graph,,2,2,2,2,2,2,1,1,1,1,1
Number of Code Blocks per Slot,,,,,,,,,,,,
"For Slots 0,1,2,3 and Slot i, if mod(i, 20) = {14,15,16,17,18,19} for i from {0,…,39}",CBs,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"For Slot i, if mod(i, 20) = {0,…, 13} for i from {4,…,39}",CBs,1,1,1,1,1,1,1,1,1,1,2
Binary Channel Bits per Slot,,,,,,,,,,,,
"For Slots 0,1,2,3 and Slot i, if mod(i, 20) = {14,15,16,17,18,19} for i from {0,…,39}",Bits,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"For Slot i, if mod(i, 20) = {0,…,13} for i from {4,…,39}",Bits,2376,3888,5184,6696,8208,11016,14040,17064,20088,23112,29160
Max. Throughput averaged over 1 frame,Mbps,1.766,2.861,3.859,4.858,5.933,8.083,10.138,12.288,14.438,16.589,20.909
"NOTE 1:Additional parameters are specified in Table A.3.1-1 and Table A.3.3.1-1.NOTE 2:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit).NOTE 3:SS/PBCH block is transmitted in slot #0 of each frameNOTE 4:Slot i is slot index per frame",,,,,,,,,,,,
