Parameter,,Unit,Value
CORESET frequency domain allocation,,,Full BW
CORESET time domain allocation,,,2 OFDM symbols at the begin of each slot
PDSCH mapping type,,,Type A
PDSCH start symbol index (S),,,2
Number of consecutive PDSCH symbols (L),,,12
PDSCH PRB bundling,,PRBs,2
Dynamic PRB bundling,,,false
,,,
Overhead value for TBS determination,,,0
First DMRS position for Type A PDSCH mapping,,,2
DMRS type,,,Type 1
Number of additional DMRS,,,2
FDM between DMRS and PDSCH,,,Disable
CSIRS for tracking,First subcarrier index in the PRB used for CSI-RS (k0),,"0 for CSI-RS resource 1,2,3,4"
,OFDM symbols in the PRB used for CSIRS,,l0 = 6 for CSI-RS resource 1 and 3l0 = 10 for CSI-RS resource 2 and 4
,Number of CSI-RS ports,,"1 for CSI-RS resource 1,2,3,4"
,CDM Type,,"'No CDM' for CSI-RS resource 1,2,3,4"
,Density (ρ),,"3 for CSI-RS resource 1,2,3,4"
,CSIRS periodicity,Slots,"15 kHz SCS: 20 for CSI-RS resource 1,2,3,430 kHz SCS: 40 for CSI-RS resource 1,2,3,460 kHz SCS: 80 for CSI-RS resource 1,2,3,4"
,CSIRS offset,Slots,15 kHz SCS:0 for CSI-RS resource 1 and 21 for CSI-RS resource 3 and 430 kHz SCS:1 for CSI-RS resource 1 and 22 for CSI-RS resource 3 and 460 kHz SCS:2 for CSI-RS resource 1 and 23 for CSI-RS resource 3 and 4
,Frequency Occupation,,Start PRB 0Number of PRB = BWP size
,QCL info,,TCI state #0
PTRS configuration,,,PTRS is not configured
