Parameter,Allocated resource blocks (LCRB),CP-OFDM Symbols per slot (Note 1),Modulation,MCS Index (Note 2),Payload size,Transport block CRC,LDPC Base Graph,Number of code blocks per slot (Note 3),Total number of bits per slot,Total modulated symbols per slot
Unit,,,,,Bits,Bits,,,Bits,
,1,11,QPSK,2,48,16,2,1,264,132
,5,11,QPSK,2,256,16,2,1,1320,660
,6,11,QPSK,2,304,16,2,1,1584,792
,9,11,QPSK,2,456,16,2,1,2376,1188
,10,11,QPSK,2,504,16,2,1,2640,1320
,11,11,QPSK,2,552,16,2,1,2904,1452
,12,11,QPSK,2,608,16,2,1,3168,1584
,13,11,QPSK,2,672,16,2,1,3432,1716
,15,11,QPSK,2,768,16,2,1,3960,1980
,16,11,QPSK,2,808,16,2,1,4224,2112
,18,11,QPSK,2,928,16,2,1,4752,2376
,19,11,QPSK,2,984,16,2,1,5016,2508
,24,11,QPSK,2,1192,16,2,1,6336,3168
,25,11,QPSK,2,1256,16,2,1,6600,3300
,26,11,QPSK,2,1288,16,2,1,6864,3432
,31,11,QPSK,2,1544,16,2,1,8184,4092
,33,11,QPSK,2,1672,16,2,1,8712,4356
,35,11,QPSK,2,1736,16,2,1,9240,4620
,38,11,QPSK,2,1928,16,2,1,10032,5016
,39,11,QPSK,2,2024,16,2,1,10296,5148
,40,11,QPSK,2,2024,16,2,1,10560,5280
,47,11,QPSK,2,2408,16,2,1,12408,6204
,51,11,QPSK,2,2536,16,2,1,13464,6732
,52,11,QPSK,2,2600,16,2,1,13728,6864
,53,11,QPSK,2,2664,16,2,1,13992,6996
,54,11,QPSK,2,2664,16,2,1,14256,7128
,61,11,QPSK,2,3104,16,2,1,16104,8052
,65,11,QPSK,2,3240,16,2,1,17160,8580
,67,11,QPSK,2,3368,16,2,1,17688,8844
,68,11,QPSK,2,3368,16,2,1,17952,8976
,78,11,QPSK,2,3848,24,2,2,20592,10296
,79,11,QPSK,2,3912,24,2,2,20856,10428
,80,11,QPSK,2,3976,24,2,2,21120,10560
,81,11,QPSK,2,4040,24,2,2,21384,10692
,93,11,QPSK,2,4616,24,2,2,24552,12276
,95,11,QPSK,2,4744,24,2,2,25080,12540
,106,11,QPSK,2,5256,24,2,2,27984,13992
,107,11,QPSK,2,5256,24,2,2,28248,14124
,108,11,QPSK,2,5384,24,2,2,28512,14256
,109,11,QPSK,2,5384,24,2,2,28776,14388
,121,11,QPSK,2,6024,24,2,2,31944,15972
,123,11,QPSK,2,6152,24,2,2,32472,16236
,133,11,QPSK,2,6664,24,2,2,35112,17556
,135,11,QPSK,2,6664,24,2,2,35640,17820
,137,11,QPSK,2,6792,24,2,2,36168,18084
,160,11,QPSK,2,7944,24,2,3,42240,21120
,162,11,QPSK,2,8064,24,2,3,42768,21384
,189,11,QPSK,2,9480,24,2,3,49896,24948
,216,11,QPSK,2,10752,24,2,3,57024,28512
,217,11,QPSK,2,10752,24,2,3,57288,28644
,245,11,QPSK,2,12296,24,2,4,64680,32340
,270,11,QPSK,2,13320,24,2,4,71280,35640
,273,11,QPSK,2,13576,24,2,4,72072,36036
"NOTE 1:PUSCH mapping Type-A and single-symbol DM-RS configuration Type-1 with 2 additional DM-RS symbols, such that the DM-RS positions are set to symbols 2, 7, 11. DMRS is [TDM'ed] with PUSCH data. DM-RS symbols are not counted.NOTE 2:MCS Index is based on MCS Table 5.1.3.1-1 defined in TS 38.214 [10].NOTE 3:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit).NOTE 4:The RMCs apply to all channel bandwidth where LCRB ≤ NRB.",,,,,,,,,,
