Parameter,Unit,Value,,,,
Channel bandwidth,MHz,53,10,20,30,40
Subcarrier spacing,kHz,15,15,15,15,15
Subchannel size,,12,10,15,10,12
Allocated resource blocks,,24,50,105,160,216
MCS Index,,23,23,23,23,23
MCS Table for TBS determination,256QAM,,,,,
Modulation,,256QAM,256QAM,256QAM,256QAM,256QAM
Transport Block Size,,15880,36896,81976,127080,172176
Transport block CRC,Bits,24,24,24,24,24
LDPC base graph,,1,1,1,1,1
Number of Code Blocks per Slot,,2,5,10,16,21
Beta offset for 2nd stage SCI,,6.25,6.25,6.25,6.25,6.25
value when  2nd stage SCI rate matchγ,,3,3,3,3,3
Binary Channel Bits per Slot,,20544,48000,106080,164160,223296
Max. Throughput averaged over 100ms,Mbps,1.588,3.6896,8.1976,12.708,17.218
"NOTE 1:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit).NOTE 2: is the number of vacant resource elements in the resource block to which the last coded symbol of the 2nd-stage SCI belongs.NOTE 3:The CBW is only applicable for PS UE in n14.γ",,,,,,
