Parameter,Unit,Value,,,,,,
Channel bandwidth,MHz,10,20,30,40,60,80,100
Subcarrier spacing,kHz,30,30,30,30,[30],[30],[30]
Subchannel size,,12,10,15,15,[10],[12],[15]
Allocated resource blocks,,24,50,75,105,[160],[216],[270]
MCS Index,,23,23,23,23,[24],[24],[24]
MCS Table for TBS determination,256QAM,,,,,,,
Modulation,,256QAM,256QAM,256QAM,256QAM,[256QAM],[256QAM],[256QAM]
Transport Block Size,,15880,36896,58384,81976,[127080],[172176],[217128]
Transport block CRC,Bits,24,24,24,24,[24],[24],[24]
LDPC base graph,,1,1,1,1,[1],[1],[1]
Number of Code Blocks per Slot,,2,5,7,10,[16],[21],[26]
Beta offset for 2nd stage SCI,,6.25,6.25,6.25,6.25,[6.25],[6.25],[6.25]
value when  2nd stage SCI rate matchγ,,3,3,3,3,[3],[3],[3]
Binary Channel Bits per Slot,,20544,48000,74400,106080,[164160],[223296],[280320]
Max. Throughput averaged over 100ms,Mbps,3.176,7.3792,11.677,16.395,[25.416],[34.4352],[43.4256]
"NOTE 1:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit).NOTE 2: is the number of vacant resource elements in the resource block to which the last coded symbol of the 2nd-stage SCI belongs.γ",,,,,,,,
