Parameter,Unit,Value,,,,,,,,,,
Channel bandwidth,MHz,10,15,20,25,30,40,50,60,70,80,100
Subcarrier spacing configuration μ,,1,1,1,1,1,1,1,1,1,1,1
Allocated resource blocks,,24,38,51,65,78,106,133,162,189,217,273
Subcarriers per resource block,,12,12,12,12,12,12,12,12,12,12,12
Allocated slots per Frame,,11,11,11,11,11,11,11,11,13,11,11
MCS Index,,23,23,23,23,23,23,23,23,23,23,23
MCS Table for TBS determination,,1024QAM,,,,,,,,,,
Modulation,,1024 QAM,1024 QAM,1024 QAM,1024 QAM,1024 QAM,1024 QAM,1024 QAM,1024 QAM,1024 QAM,1024 QAM,1024 QAM
Target Coding Rate,,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78
Maximum number of HARQ transmissions,,1,1,1,1,1,1,1,1,1,1,1
Information Bit Payload per Slot,,,,,,,,,,,,
"For Slots 0,1,2 and Slot i, if mod(i, 10) = {7,8,9} for i from {0,…,19}",Bits,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"For Slot i, if mod(i, 10) = {0,1,2,3,4,5,6} for i from {3,…,19}",Bits,20496,32264,43032,55304,65576,90176,112648,139376,159800,184424,233608
Transport block CRC,Bits,24,24,24,24,24,24,24,24,24,24,24
LDPC base graph,,1,1,1,1,1,1,1,1,1,1,1
Number of Code Blocks per Slot,,,,,,,,,,,,
"For Slots 0,1,2 and Slot i, if mod(i, 10) = {7,8,9} for i from {0,…,19}",CBs,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"For Slot i, if mod(i, 10) = {0,1,2,3,4,5,6} for i from {3,…,19}",CBs,3,4,6,7,8,11,14,17,19,22,28
Binary Channel Bits per Slot,,,,,,,,,,,,
"For Slots 0,1,2 and Slot i, if mod(i, 10) = {7,8,9} for i from {0,…,19}",Bits,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"For Slot i, if mod(i, 10) = {0,1,2,3,4,5,6} for i from {3,…,19}",Bits,25920,41040,55080,70200,84240,114480,143640,174960,204120,234360,294840
Max. Throughput averaged over 1 frame,Mbps,22.546,35.490,47.335,60.834,72.134,99.194,123.913,153.314,175.868,202.866,256.969
"NOTE 1:Additional parameters are specified in Table A.3.1-1 and Table A.3.3.1-1.NOTE 2:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit).NOTE 3:SS/PBCH block is transmitted in slot #0 of each frameNOTE 4:Slot i is slot index per frame",,,,,,,,,,,,
