Parameter,Allocated resource blocks (LCRB),CP-OFDM Symbols per slot (Note 1),Modulation,MCS Index (Note 2),Payload size,Transport block CRC,LDPC Base Graph,Number of code blocks per slot (Note 3),Total number of bits per slot,Total modulated symbols per slot
Unit,,,,,Bits,Bits,,,Bits,
,1,11,16QAM,10,176,16,2,1,528,132
,5,11,16QAM,10,888,16,2,1,2640,660
,6,11,16QAM,10,1064,16,2,1,3168,792
,9,11,16QAM,10,1608,16,2,1,4752,1188
,10,11,16QAM,10,1800,16,2,1,5280,1320
,11,11,16QAM,10,1928,16,2,1,5808,1452
,12,11,16QAM,10,2088,16,2,1,6336,1584
,13,11,16QAM,10,2280,16,2,1,6864,1716
,15,11,16QAM,10,2664,16,2,1,7920,1980
,16,11,16QAM,10,2792,16,2,1,8448,2112
,18,11,16QAM,10,3240,16,2,1,9504,2376
,19,11,16QAM,10,3368,16,2,1,10032,2508
,24,11,16QAM,10,4224,24,1,1,12672,3168
,25,11,16QAM,10,4352,24,1,1,13200,3300
,26,11,16QAM,10,4480,24,1,1,13728,3432
,31,11,16QAM,10,5376,24,1,1,16368,4092
,33,11,16QAM,10,5760,24,1,1,17424,4356
,35,11,16QAM,10,6144,24,1,1,18480,4620
,38,11,16QAM,10,6656,24,1,1,20064,5016
,39,11,16QAM,10,6784,24,1,1,20592,5148
,40,11,16QAM,10,7040,24,1,1,21120,5280
,47,11,16QAM,10,8192,24,1,1,24816,6204
,51,11,16QAM,10,8968,24,1,2,26928,6732
,52,11,16QAM,10,9224,24,1,2,27456,6864
,53,11,16QAM,10,9224,24,1,2,27984,6996
,54,11,16QAM,10,9480,24,1,2,28512,7128
,61,11,16QAM,10,10760,24,1,2,32208,8052
,65,11,16QAM,10,11272,24,1,2,34320,8580
,67,11,16QAM,10,11784,24,1,2,35376,8844
,68,11,16QAM,10,11784,24,1,2,35904,8976
,78,11,16QAM,10,13576,24,1,2,41184,10296
,79,11,16QAM,10,13832,24,1,2,41712,10428
,80,11,16QAM,10,14088,24,1,2,42240,10560
,81,11,16QAM,10,14088,24,1,2,42768,10692
,93,11,16QAM,10,16392,24,1,2,49404,12276
,95,11,16QMA,10,16392,24,1,2,50160,12540
,106,11,16QAM,10,18432,24,1,3,55968,13992
,107,11,16QAM,10,18960,24,1,3,56496,14124
,108,11,16QAM,10,18960,24,1,3,57024,14256
,109,11,16QAM,10,18960,24,1,3,57552,14388
,121,11,16QAM,10,21000,24,1,3,63888,15972
,123,11,16QAM,10,21504,24,1,3,64944,16236
,133,11,16QAM,10,23040,24,1,3,70224,17556
,135,11,16QAM,10,23568,24,1,3,71280,17820
,137,11,16QAM,10,24072,24,1,3,72336,18084
,160,11,16QAM,10,28168,24,1,4,84480,21120
,162,11,16QAM,10,28168,24,1,4,85536,21384
,189,11,16QAM,10,32776,24,1,4,99792,24948
,216,11,16QAM,10,37896,24,1,5,114048,28512
,217,11,16QAM,10,37896,24,1,5,114576,28644
,245,11,16QAM,10,43032,24,1,6,129360,32340
,270,11,16QAM,10,47112,24,1,6,142560,35640
,273,11,16QAM,10,48168,24,1,6,144144,36036
"NOTE 1:PUSCH mapping Type-A and single-symbol DM-RS configuration Type-1 with 2 additional DM-RS symbols, such that the DM-RS positions are set to symbols 2, 7, 11. DMRS is [TDM'ed] with PUSCH data. DM-RS symbols are not counted.NOTE 2:MCS Index is based on MCS Table 5.1.3.1-1 defined in TS 38.214 [10].NOTE 3:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit).NOTE 4:The RMCs apply to all channel bandwidth where LCRB ≤ NRB.",,,,,,,,,,
