Parameter,Unit,Value,,,,,,,,,,
Channel bandwidth,MHz,"10, 15, 20 (Note 5)",10,15,20,25,30,40,50,60,80,100
Subcarrier spacing configuration,,1,1,1,1,1,1,1,1,1,1,1
Allocated resource blocks,,10,24,38,51,65,78,106,133,162,217,273
Subcarriers per resource block,,12,12,12,12,12,12,12,12,12,12,12
Allocated slots per Frame,,17,17,17,17,17,17,17,17,17,17,17
MCS Index,,24,24,24,24,24,24,24,24,24,24,24
MCS Table for TBS determination,,64QAM,,,,,,,,,,
Modulation,,64 QAM,64 QAM,64 QAM,64 QAM,64 QAM,64 QAM,64 QAM,64 QAM,64 QAM,64 QAM,64 QAM
Target Coding Rate,,3/4,3/4,3/4,3/4,3/4,3/4,3/4,3/4,3/4,3/4,3/4
Maximum number of HARQ transmissions,,1,1,1,1,1,1,1,1,1,1,1
Information Bit Payload per Slot,,,,,,,,,,,,
"For Slots 0,1,2",Bits,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"For Slots 3,…,19",Bits,4864,11784,18432,25104,31752,37896,52224,64552,79896,106576,135296
Transport block CRC,Bits,24,24,24,24,24,24,24,24,24,24,24
LDPC base graph,,1,1,1,1,1,1,1,1,1,1,1
Number of Code Blocks per Slot,,,,,,,,,,,,
"For Slot2 0,1,2",CBs,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"For Slots 3,…,19",CBs,1,2,3,3,4,5,7,8,10,13,17
Binary Channel Bits per Slot,,,,,,,,,,,,
"For Slots 0,1,2",Bits,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"For Slots 3,…,19",Bits,6480,15552,24624,33048,42120,50544,68688,86184,104976,140616,176904
Max. Throughput averaged over 1 frame,Mbps,8.269,20.033,31.334,42.677,53.978,64.423,88.781,109.738,135.823,181.179,230.003
"NOTE 1:Additional parameters are specified in Table A.3.1-1 and Table A.3.2.1-1.NOTE 2:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit).NOTE 3:SS/PBCH block is transmitted in slot 0 of each frameNOTE 4:Slot i is slot index per frameNOTE 5: Channel bandwidths in this column only apply to UEs supporting IE supportOfERedCap-r18.",,,,,,,,,,,,
