Change history,,,,,,,,
Date,Meeting,TDoc,CR,Rev,Cat,Subject/Comment,New version,
2024-12,RAN#106,RP-243074,2518,,B,Big CR to 38.101-1 new combinations for HPUE_NR_CADC_SUL_R19,19.0.0,
2024-12,RAN#106,RP-243072,2546,,B,big CR 38.101-1 for NR_CADC_SUL_R19,19.0.0,
2024-12,RAN#106,RP-243079,2562,2,B,CR on introduction of PC2 and 40MHz for n28,19.0.0,
2025-03,RAN#107,RP-250622,2610,1,B,CR to 38.101-1 - Introduction of band n68,19.1.0,
2025-03,RAN#107,RP-250608,2613,,A,(NR_unlic_enh-Core) Corrections to the 6GHz unlicensed band NS flags,19.1.0,
2025-03,RAN#107,RP-250604,2618,1,A,CR 38.101-1 R19 Corection for ACS requirement for 3 MHz carrier,19.1.0,
2025-03,RAN#107,RP-250584,2619,,A,CR 38.101-1 Clarifications for non-collocated requirements R19,19.1.0,
2025-03,RAN#107,RP-250596,2625,,A,(NR_RF_TxD-Core) Replacement of dual Tx with 2Tx and single Tx with 1Tx,19.1.0,
2025-03,RAN#107,RP-250608,2628,,A,(NR_SL_enh2-Core) CR to 38.101-1 Rel-19 Cat-A for 7.6E.3.1A Out-of-band blocking for Sidelink CA,19.1.0,
2025-03,RAN#107,RP-250627,2629,1,B,CR to 38.101-1 on introduction of Band n110,19.1.0,
2025-03,RAN#107,RP-250615,2638,,B,Big CR to 38.101-1 new combinations for HPUE_NR_CADC_SUL_R19,19.1.0,
2025-03,RAN#107,RP-250620,2639,,B,BigCR to 38.101-1: Simultaneous Rx-Tx,19.1.0,
2025-03,RAN#107,RP-250616,2642,1,B,CR for TS 38.101-1 to introduce PC1.5 n104,19.1.0,
2025-03,RAN#107,RP-250617,2646,1,F,CR on support of UL MIMO for PC2 n28,19.1.0,
2025-03,RAN#107,RP-250603,2653,,A,(  NR_MC_enh-Core) Correct the capability name for Tx switching,19.1.0,
2025-03,RAN#107,RP-250630,2654,,B,TS 38.101-1 big CR for NR_bands_xFeature_R19-Core,19.1.0,
2025-03,RAN#107,RP-250629,2659,,B,Big CR to 38.101-1 Introduce no DL interruption clarification for CA at dynamic Tx Switching in uplink,19.1.0,
2025-03,RAN#107,RP-250595,2661,,A,"(NR_RAIL_EU_900MHz, NR_UAV) CR to TS 38101-1 - Wrong references",19.1.0,
2025-03,RAN#107,RP-250624,2662,1,B,Big CR to TS 38.101-1: Adding channel BW support in existing NR bands,19.1.0,
2025-03,RAN#107,RP-250602,2678,,F,Corrections to Harmonic Mixing UL allocations,19.1.0,
2025-03,RAN#107,RP-250599,2683,,A,(HPUE_NR_FR1_FDD_R18) CR for TS 38.101-1 to clarify A-MPR for NS_43,19.1.0,
2025-03,RAN#107,RP-250598,2686,,A,(HPUE_FR1_TDD_NR_CADC_SUL_R18-Core) Corrections on single uplink carrier for inter-band CA configurations_R19_CAT_A,19.1.0,
2025-03,RAN#107,RP-250602,2688,,A,(NR_CADC_R18_2BDL_xBUL-Core) Corrections on inter-band CA reference sensitivity due to intermodulation interference_R19_CAT_A,19.1.0,
2025-03,RAN#107,RP-250602,2690,,F,Corrections to 2 3 and 4 NR CA configuration tabels,19.1.0,
2025-03,RAN#107,RP-250597,2694,,A,(NR_SL_enh-Core) CR on A-MPR for NS_33 (R19),19.1.0,
2025-03,RAN#107,RP-250581,2698,,A,(5G_V2X_NRSL-Core) CR on SL MIMO configuration (R19),19.1.0,
2025-03,RAN#107,RP-250613,2699,,B,big CR 38.101-1 for NR_CADC_SUL_R19,19.1.0,
2025-03,RAN#107,RP-250613,2700,,F,CR 38.101-1 correcting band combination configuration tables,19.1.0,
2025-03,RAN#107,RP-250598,2708,,A,(HPUE_FR1_TDD_NR_CADC_SUL_R18) Cat A CR for TS 38.101-1-j00 Corrections to PC2 harmonic MSD,19.1.0,
2025-03,RAN#107,RP-250613,2709,1,F,(HPUE_NR_CADC_SUL_R19) Cat F CR for TS 38.101-1-j00 Corrections to intra-band non-contiguous MSD,19.1.0,
2025-03,RAN#107,RP-250609,2717,,A,(NR_newRAT-Core) Correction of reference to Suspended version of ITU-R SM.329 Recommendation,19.1.0,
2025-03,RAN#107,RP-250615,2720,1,F,CR for 38.101-1 to correct errors and remove redundant CA with TxD table,19.1.0,
2025-03,RAN#107,RP-250615,2721,,F,CR for 38.101-1 to correct FDD HPUE notes,19.1.0,
2025-03,RAN#107,RP-250626,2723,,B,Big CR for less than 5MHz UE RF requirements in Rel-19,19.1.0,
2025-03,RAN#107,RP-250519,2725,,B,CR to TS 38.101-1 on introduction NR bands n87 and n88,19.1.0,
2025-06,RAN#108,RP-250953,2727,,B,BigCR to 38.101-1: Simultaneous Rx-Tx,19.2.0,
2025-06,RAN#108,RP-250925,2730,,A,(NR_CADC_R18_3BDL_xBUL-Core) CR to 38.101-1: Correction on CA_n28-n40-n77 (Rel-19),19.2.0,
2025-06,RAN#108,RP-250918,2733,,A,(NR_CADC_R17_3BDL_2BUL-Core)CR to 38.101-1: Correction on CA_n28-n40-n78 (Rel-18),19.2.0,
2025-06,RAN#108,RP-250950,2737,,B,CR to TS 38.101-1: UL MIMO in bands n100 and n101,19.2.0,
2025-06,RAN#108,RP-250919,2740,,A,"(NR_RAIL_EU_900MHz-Core, NR_RAIL_EU_1900MHz_TDD-Core) CR to TS 38.101-1: Correction to mapping of network signalling table (Rel-19)",19.2.0,
2025-06,RAN#108,RP-250958,2741,1,B,CR to 38.101-1 on adding new channel bandwidth to band n48,19.2.0,
2025-06,RAN#108,RP-250952,2746,,F,CR Bugfixes and missing Fallbacks 38101-1-j10_s0505A03-0505A03,19.2.0,
2025-06,RAN#108,RP-250935,2748,,A,(TEI18) CR to TS 38.101-1 correction of 4Tx [RF_FR1_4Tx],19.2.0,
2025-06,RAN#108,RP-250925,2751,1,F,(NR_CADC_R18_2BDL_xBUL) CR to clarify that sources of IMD coming from two CCs in section 7.3A.5 can be from two bands or just a single band - TS38.101-1,19.2.0,
2025-06,RAN#108,RP-250955,2753,,A,(HPUE_NR_CADC_SUL_R19) CR for addition and correction of notes in clause 6.2A.1.3 UE MOP for Inter-band CA - TS38.101-1,19.2.0,
2025-06,RAN#108,RP-250918,2756,,A,(NR_CADC_R17_2BDL_xBUL-Core) CR to clarify the applicable SCS when UE testing in clause 7.3A.1 - TS 38.101-1,19.2.0,
2025-06,RAN#108,RP-250918,2759,,A,(NR_CADC_R17_2BDL_xBUL-Core) CR to correct Band n40 DL Fc used in the configuration for CA_n40-n77 cross band isolation MSD requirements in clause 7.3A.6 - TS38.101-1,19.2.0,
2025-06,RAN#108,RP-250935,2769,,A,(TEI18) CR on 38.101-1 clarifications on special sync rasters for n100[Sync_raster_3MHz_n100],19.2.0,
2025-06,RAN#108,RP-250962,2771,,F,CR to TS 38.101-1 - Correction of A-MPR tables for band n68,19.2.0,
2025-06,RAN#108,RP-250961,2773,,F,CR to TS 38.101-1 on sync raster correction for band n110,19.2.0,
2025-06,RAN#108,RP-250957,2788,1,B,Introduction of requirements for PC2 operation in band n5,19.2.0,
2025-06,RAN#108,RP-250957,2789,1,B,Introduction of requirements for PC2 operation in band n26,19.2.0,
2025-06,RAN#108,RP-250935,2791,,A,(TEI18) CR to 38.101-1 on  adding asymmetric channel bandwidth for n70 UL15/DL10 [n70_asymBW],19.2.0,
2025-06,RAN#108,RP-250922,2800,,F,(HPUE_FR1_TDD_NR_CADC_SUL_R18) CR for 38.101-1 Correct the NOTE for HPUE harmonic/harmonic mixing MSD,19.2.0,
2025-06,RAN#108,RP-250950,2801,,B,TS 38.101-1 big CR for NR_bands_xFeature_R19-Core,19.2.0,
2025-06,RAN#108,RP-250927,2805,,A,(NR_MC_enh) R19 correction of switchig time between NUL and SUL carriers,19.2.0,
2025-06,RAN#108,RP-250956,2806,1,B,CR for 38.101-1 to introduce PC2 RedCap,19.2.0,
2025-06,RAN#108,RP-250960,2811,,F,CR to TS 38.101-1 on addition of 3 MHz channel bandwidth into Annex D.1,19.2.0,
2025-06,RAN#108,RP-250922,2813,,A,(  NonCol_intraB_ENDC_NR_CA) CR for 38.101-1 Correct the NOTE for non-collocated CA,19.2.0,
2025-06,RAN#108,RP-250946,2819,,B,Big CR for SL intra-band CA,19.2.0,
2025-06,RAN#108,RP-250927,2821,1,A,CR to 38.101-1 to correct switching period reference for UL Tx Switching,19.2.0,
2025-06,RAN#108,RP-250925,2824,,A,(NR_CADC_R18_2BDL_xBUL-Core) Corrections on BCS denotation for two bands CA configurations_R19_CAT_A,19.2.0,
2025-06,RAN#108,RP-250925,2826,,A,(NR_CADC_R18_3BDL_xBUL-Core)_Corrections on BCS denotation for three bands CA configurations_R19_CAT_A,19.2.0,
2025-06,RAN#108,RP-250925,2828,,A,(NR_CADC_R18_yBDL_xBUL-Core)_Corrections on BCS denotation for four and five bands CA configurations_R19_CAT_A,19.2.0,
2025-06,RAN#108,RP-250925,2830,,A,(NR_CADC_R18_2BDL_xBUL-Core) Corrections on two bands CA configurations_R19_CAT_A,19.2.0,
2025-06,RAN#108,RP-250952,2831,,B,big CR 38.101-1 for NR_CADC_SUL_R19,19.2.0,
2025-06,RAN#108,RP-250952,2832,,F,CR 38.101-1 correcting 3 bands NR CA combinatons,19.2.0,
2025-06,RAN#108,RP-250922,2836,,A,[HPUE_NR_FR1_FDD_R18-Core] CR to TS38.101-1-i90: Correction to PC2 intra-band contiguous CA REFSENS - CatA,19.2.0,
2025-06,RAN#108,RP-250924,2842,,A,(NR_ATG-Core) Rel-19 Clarifications on some ATG requirements applicability per connector,19.2.0,
2025-06,RAN#108,RP-250925,2850,,A,CR to TS 38.101-1:Removal of 3 MHz CBW from CA in Rel-18,19.2.0,
2025-06,RAN#108,RP-250955,2859,,B,Big CR to 38.101-1 new combinations for HPUE_NR_CADC_SUL_R19,19.2.0,
2025-09,RAN#109,RP-252403,2860,,B,Big CR to 38.101-1 new combinations for HPUE_NR_CADC_SUL_R19,19.3.0,
2025-09,RAN#109,RP-252378,2865,,A,"(NR_newRAT-Core, NR_FR1_lessthan_5MHz_BW-Core) CR to TS 38.101-1 on the channel bandwidth list in the normative Annex D",19.3.0,
2025-09,RAN#109,RP-252388,2872,,A,CR to TS 38.101-1 - Correction to A-MPR for CA_NS_04 (Rel-19),19.3.0,
2025-09,RAN#109,RP-252414,2873,,F,CR to TS 38.101-1 - Correction of A-MPR NS_36 table for band n68,19.3.0,
2025-09,RAN#109,RP-252431,2875,1,F,CR for TS 38.101-1 to clarify the REFSENS requirements for PC2 TDD HD-FDD RedCap UE,19.3.0,
2025-09,RAN#109,RP-252427,2876,2,F,CR for TS 38.101-1 to modify the delta MPR errors for PC2 n28,19.3.0,
2025-09,RAN#109,RP-252404,2884,,F,CR to 38.101-1 on removing wrong REFSENS entry for 30MHz CBW of band n5,19.3.0,
