Parameter,Unit,Value,,,,,,,,,
Channel bandwidth,MHz,3,5,7,10,15,20,25,30,40,50
Subcarrier spacing,kHz,15,15,15,15,15,15,15,15,15,15
Subcarrier spacing configuration μ,,0,0,0,0,0,0,0,0,0,0
Allocated resource blocks,,15,25,35,52,79,106,133,160,216,270
Subcarriers per resource block,,12,12,12,12,12,12,12,12,12,12
Allocated slots per Frame,,8,8,8,8,8,8,8,8,8,8
MCS Index,,23,23,23,23,23,23,23,23,23,23
MCS Table for TBS determination,1024QAM,,,,,,,,,,
Modulation,,1024 QAM,1024 QAM,1024 QAM,1024 QAM,1024 QAM,1024 QAM,1024 QAM,1024 QAM,1024 QAM,1024 QAM
Target Coding Rate,,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78
Maximum number of HARQ transmissions,,1,1,1,1,1,1,1,1,1,1
Information Bit Payload per Slot,,,,,,,,,,,
"For Slots 0,1",Bits,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"For Slots 2,3,4,5,6,7,8,9",Bits,12808,21000,29704,44040,67584,90176,112648,135296,184424,229576
Transport block CRC,Bits,24,24,24,24,24,24,24,24,24,24
LDPC base graph,,1,1,1,1,1,1,1,1,1,1
Number of Code Blocks per Slot,,,,,,,,,,,
"For Slot 0,1",CBs,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"For Slots 2,3,4,5,6,7,8,9",CBs,2,3,4,6,9,11,14,17,22,28
Binary Channel Bits per Slot,,,,,,,,,,,
"For Slots 0,1",Bits,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"For Slots 2,3,4,5,6,7,8,9",Bits,16200,27000,37800,56160,85320,114480,143640,172800,233280,291600
Max. Throughput averaged over 1 frame,Mbps,10.246,16.800,23.763,35.232,54.067,72.141,90.118,108.237,147.539,183.661
"NOTE 1:Additional parameters are specified in Table A.3.1-1 and Table A.3.2.1-1.NOTE 2:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit).NOTE 3:SS/PBCH block is transmitted in slot 0 of each frameNOTE 4:Slot i is slot index per frame",,,,,,,,,,,
