Parameter,Unit,Value,,,,,,,,,,,
Channel bandwidth,MHz,"10, 15, 20 (Note 5)",10,15,20,25,30,40,50,60,70,80,100
Subcarrier spacing configuration,,1,1,1,1,1,1,1,1,1,1,1,1
Allocated resource blocks,,12,24,38,51,65,78,106,133,162,162,217,273
Subcarriers per resource block,,12,12,12,12,12,12,12,12,12,12,12,12
Allocated slots per Frame,,11,11,11,11,11,11,11,11,11,13,11,11
MCS Index,,4,4,4,4,4,4,4,4,4,4,4,4
MCS Table for TBS determination,,64QAM,,,,,,,,,,,
Modulation,,QPSK,QPSK,QPSK,QPSK,QPSK,QPSK,QPSK,QPSK,QPSK,QPSK,QPSK,QPSK
Target Coding Rate,,1/3,1/3,1/3,1/3,1/3,1/3,1/3,1/3,1/3,1/3,1/3,1/3
Maximum number of HARQ transmissions,,1,1,1,1,1,1,1,1,1,1,1,1
Information Bit Payload per Slot,,,,,,,,,,,,,
"For Slots 0,1,2 and Slot i, if mod(i, 10) = {7,8,9} for i from {0,…,19}",Bits,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"For Slot i, if mod(i, 10) = {0,1,2,3,4,5,6} for i from {3,…,19}",Bits,808,1608,2472,3368,4224,4992,6912,8712,10504,12296,14088,17928
Transport block CRC,Bits,16,16,16,16,24,24,24,24,24,24,24,24
LDPC base graph,,2,2,2,2,1,1,1,1,1,1,1,1
Number of Code Blocks per Slot,,,,,,,,,,,,,
"For Slots 0,1,2 and Slot i, if mod(i, 10) = {7,8,9} for i from {0,…,19}",CBs,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"For Slot i, if mod(i, 10) = {0,1,2,3,4,5,6} for i from {3,…,19}",CBs,1,1,1,1,1,1,1,2,2,2,2,3
Binary Channel Bits per Slot,,,,,,,,,,,,,
"For Slots 0,1,2 and Slot i, if mod(i, 10) = {7,8,9} for i from {0,…,19}",Bits,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"For Slot i, if mod(i, 10) = {0,1,2,3,4,5,6} for i from {3,…,19}",Bits,2592,5184,8208,11016,14040,16848,22896,28728,34992,40824,46872,58968
Max. Throughput averaged over 1 frame,Mbps,0.889,1.7699,2.719,3.705,4.646,5.491,7.603,9.583,11.554,13.526,15.497,19.721
"NOTE 1:Additional parameters are specified in Table A.3.1-1 and Table A.3.3.1-1.NOTE 2:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit).NOTE 3:SS/PBCH block is transmitted in slot #0 of each frameNOTE 4:Slot i is slot index per frameNOTE 5:Channel bandwidths in this column only apply to UEs supporting IE supportOfERedCap-r18 but not eRedCapNotReducedBB-BW-r18.",,,,,,,,,,,,,
