Preamble format,Cyclic prefix length  NCP,Nominal FFT size1,EVM window length W in FFT samples,Ratio of W to CP2
A1,2882-,20482-,1442-,50.0%
A2,5762-,20482-,4322-,75.0%
A3,8642-,20482-,7202-,83.3%
B1,2162-,20482-,722-,33.3%
B2,3602-,20482-,2162-,60.0%
B3,5042-,20482-,3602-,71.4%
B4,9362-,20482-,7922-,84.6%
C0,12402-,20482-,10962-,88.4%
C2,20482-,20482-,19042-,93.0%
NOTE 1:The use of other FFT sizes is possible as long as appropriate scaling of the window length is appliedNOTE 2:These percentages are informative,,,,
