ChannelBandwidth (MHz),FFT size,Cyclic prefix length for symbols 16 and 8-13 in FFT samples,EVM window length W,Ratio of W to total CP length for symbols 16 and 8-131 (%),
3,256,18,9,50,
5,512,36,18,50,
7,512,36,18,50,
10,1024,72,36,50,
15,1536,108,54,50,
20,2048,144,72,50,
25,2048,144,72,50,
30,3072,216,108,50,
35,3072,216,108,50,
40,4096,288,144,50,
45,4096,288,144,50,
50,4096,288,144,50,
NOTE 1:These percentages are informative and apply to a slot's symbols 1 to 6 and 8 to 13. Symbols 0 and 7 have a longer CP and therefore a lower percentage.,,,,,
