ChannelBandwidth (MHz),FFT size,Cyclic prefix length for symbols in FFT samples,EVM window length W,Ratio of W to total CP length 1 (%)
10,256,18,9,50
15,384,27,14,50
20,512,36,18,50
25,512,36,18,50
30,768,54,27,50
35,768,54,27,50
40,1024,72,36,50
45,1024,72,36,50
50,1024,72,36,50
60,1536,108,54,50
70,1536,108,54,50
80,2048,144,72,50
90,2048,144,72,50
100,2048,144,72,50
NOTE 1:These percentages are informative and apply to all OFDM symbols within subframe except for symbol 0 of slot 0 and slot 2. Symbol 0 of slot 0 and slot 2 may have a longer CP and therefore a lower percentage.,,,,
