Parameter,,Unit,Value,,,,
Channel bandwidth,,MHz,5,10,15,20,25
Allocated resource blocks,,,25,52,79,106,133
"For Slots i in which PDSCH is not allocated,If Mod(i, 20) = 0 or 1",Information Bit Payload per Slot,Bits,NA,NA,NA,NA,NA
,Number of Code Blocks per Slot,CBs,NA,NA,NA,NA,NA
,Binary Channel Bits per Slot,Bits,NA,NA,NA,NA,NA
"For Switch-from Slots i in which PDSCH is allocated,if Mod(i, 20) = 2, 4, 6, 8, 10, 12, 14, 16, 18 and ‘1’ is indicated by gapDurationPCelltoSCell-r19 or gapDurationSCelltoPCell-r19",Allocated data symbols of PDSCH,Symbols,8,,,,
,Information Bit Payload per Slot,Bits,1480,2976,4480,6144,7680
,Transport block CRC,Bits,16,16,24,24,24
,LDPC base graph,,2,2,1,1,1
,Number of Code Blocks per Slot / CBs,CBs,1,1,1,1,1
,Binary Channel Bits per Slot / Bits,Bits,4800,9984,15168,20352,25536
"For Switch-from Slots i in which PDSCH is allocated,if Mod(i, 20) = 2, 4, 6, 8, 10, 12, 14, 16, 18 and ‘2’ is indicated by gapDurationPCelltoSCell-r19 or gapDurationSCelltoPCell-r19",Allocated data symbols of PDSCH,Symbols,7,,,,
,Information Bit Payload per Slot,Bits,1256,2664,3968,5376,6656
,Transport block CRC,Bits,16,16,24,24,24
,LDPC base graph,,2,2,1,1,1
,Number of Code Blocks per Slot / CBs,CBs,1,1,1,1,1
,Binary Channel Bits per Slot / Bits,Bits,4200,8736,13272,17808,22344
"For Switch-from Slots i in which PDSCH is allocated,if Mod(i, 20) = 2, 4, 6, 8, 10, 12, 14, 16, 18 and ‘3’ is indicated by gapDurationPCelltoSCell-r19 or gapDurationSCelltoPCell-r19",Allocated data symbols of PDSCH,Symbols,6,,,,
,Information Bit Payload per Slot,Bits,1128,2280,3496,4608,5760
,Transport block CRC,Bits,16,16,16,24,24
,LDPC base graph,,2,2,2,1,1
,Number of Code Blocks per Slot / CBs,CBs,1,1,1,1,1
,Binary Channel Bits per Slot / Bits,Bits,3600,7488,11376,15264,19152
"For Switch-to Slots i in which PDSCH is allocated,If Mod(i, 20) = 3, 5, 7, 9, 11, 13, 15, 17, 19",Allocated data symbols of PDSCH,Symbols,9,,,,
,Information Bit Payload per Slot,Bits,1672,3368,5120,6912,8712
,Transport block CRC,Bits,16,16,24,24,24
,LDPC base graph,,2,2,1,1,1
,Number of Code Blocks per Slot,CBs,1,1,1,1,2
,Binary Channel Bits per Slot,Bits,5400,11232,17064,22896,28728
"NOTE 1:Additional parameters are specified in Table A.8.1-1.NOTE 2:If TB size is larger than 3824, the CRC sequence of L = 24 Bits is attached to each Code Block.NOTE 3:SS/PBCH block is transmitted in slot 0, 1 and 20, 21 of each period of 40 slots.NOTE 4:Slot i is slot index per four frames.",,,,,,,
