Parameter,Unit,Value,,,,,,,,,,,
Channel bandwidth,MHz,10,"10, 15, 20 (Note 5)",15,20,25,30,40,50,60,80,90,100
Subcarrier spacing configuration,,1,1,1,1,1,1,1,1,1,1,1,1
Allocated resource blocks,,24,12,38,51,65,78,106,133,162,217,245,273
Subcarriers per resource block,,12,12,12,12,12,12,12,12,12,12,12,12
Allocated slots per Frame,,17,17,17,17,17,17,17,17,17,17,17,17
MCS Index,,4,4,4,4,4,4,4,4,4,4,4,4
MCS Table for TBS determination,,64QAM,,,,,,,,,,,
Modulation,,QPSK,QPSK,QPSK,QPSK,QPSK,QPSK,QPSK,QPSK,QPSK,QPSK,QPSK,QPSK
Target Coding Rate,,1/3,1/3,1/3,1/3,1/3,1/3,1/3,1/3,1/3,1/3,1/3,1/3
Maximum number of HARQ transmissions,,1,1,1,1,1,1,1,1,1,1,1,1
Information Bit Payload per Slot,,,,,,,,,,,,,
"For Slots 0,1,2",Bits,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"For Slots 3,…,19",Bits,1608,808,2472,3368,4224,4992,6912,8712,10504,14088,15880,17928
Transport block CRC,Bits,16,16,16,16,24,24,24,24,24,24,24,24
LDPC base graph,,2,2,2,2,1,1,1,1,1,1,1,1
Number of Code Blocks per Slot,,,,,,,,,,,,,
"For Slots 0,1,2",CBs,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"For Slots 3,…,19",CBs,1,1,1,1,1,1,1,2,2,2,2,3
Binary Channel Bits per Slot,,,,,,,,,,,,,
"For Slots 0,1,2",Bits,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"For Slots 3,…,19",Bits,5184,2592,8208,11016,14040,16848,22896,28728,34992,46872,52920,58968
Max. Throughput averaged over 1 frame,Mbps,2.734,1.374,4.202,5.726,7.181,8.486,11.750,14.810,17.857,23.950,26.996,30.478
"NOTE 1:Additional parameters are specified in Table A.3.1-1 and Table A.3.2.1-1.NOTE 2:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit).NOTE 3:SS/PBCH block is transmitted in slot #0 of each frameNOTE 4:Slot i is slot index per frameNOTE 5:Channel bandwidths 10, 15, and 20 MHz in this column only apply to UEs supporting IE supportOfERedCap-r18 but not eRedCapNotReducedBB-BW-r18.",,,,,,,,,,,,,
