The number of slots between PDSCH and corresponding HARQ-ACK information,,CCs with the same duplex mode and SCS with PCell,CCs with different duplex mode and/or SCS with PCell
FDD 15 kHz +,FDD PCell,{2},N/A
FDD 15 kHz CA,,,
FDD 15 kHz +,15kHz PCell,{2},{3}
FDD 30 kHz CA,30kHz PCell,{2},{2}
FDD 15 kHz +,FDD PCell,{2},{2}
TDD 15 kHz CA,TDD PCell,"{4,3,2}","{4,3,2,6,5}"
FDD 15 kHz +,FDD PCell,{2},{3}
TDD 30 kHz CA,TDD PCell,"{8,7,6,5,4,3,2}","{8,6,4,2,10}"
TDD 15 kHz +,TDD PCell,"{4,3,2}",N/A
TDD 15 kHz CA,,,
TDD 15 kHz +,15kHz PCell,"{4,3,2}","{4,4,3,3,2,7,6}"
TDD 30 kHz CA,30kHz PCell,"{8,7,6,5,4,3,2}","{7,5,4}"
FDD 30 kHz +,FDD PCell,{2},N/A
FDD 30 kHz CA,,,
FDD 30 kHz +,FDD PCell,{2},{2}
TDD 15 kHz CA,TDD PCell,"{4,3,2}","{4,4,3,3,7,7,6,6,5,5}"
FDD 30 kHz +,FDD PCell,{2},{2}
TDD 30 kHz CA,TDD PCell,"{8,7,6,5,4,3,2}","{8,7,6,5,4,3,2,2,10,-}(NOTE 1)"
TDD 30 kHz +,TDD PCell,"{8,7,6,5,4,3,2}",N/A
TDD 30 kHz CA,,,
NOTE 1:No PDSCH shall be scheduled in slots 9 and 19 to avoid HARQ conflicts and maximize Throughput. Hence no K1 value is applicable for them.,,,
