Parameter,Allocated resource blocks (LCRB),DFT-s-OFDM Symbols per slot (Note 1),Modulation,MCS Index (Note 2),Payload size,Transport block CRC,LDPC Base Graph,Number of code blocks per slot (Note 3),Total number of bits per slot,Total modulated symbols per slot
Unit,,,,,Bits,Bits,,,Bits,
,1,11,16QAM,10,176,16,2,1,528,132
,5,11,16QAM,10,888,16,2,1,2640,660
,9,11,16QAM,10,1608,16,2,1,4752,1188
,10,11,16QAM,10,1800,16,2,1,5280,1320
,12,11,16QAM,10,2088,16,2,1,6336,1584
,15,11,16QAM,10,2664,16,2,1,7920,1980
,18,11,16QAM,10,3240,16,2,1,9504,2376
,24,11,16QAM,10,4224,24,1,1,12672,3168
,25,11,16QAM,10,4352,24,1,1,13200,3300
,30,11,16QAM,10,5248,24,1,1,15840,3960
,32,11,16QAM,10,5632,24,1,1,16896,4224
,36,11,16QAM,10,6272,24,1,1,19008,4752
,45,11,16QAM,10,7808,24,1,1,23760,5940
,50,11,16QAM,10,8712,24,1,2,26400,6600
,60,11,16QAM,10,10504,24,1,2,31680,7920
,64,11,16QAM,10,11272,24,1,2,33792,8448
,75,11,16QAM,10,13064,24,1,2,39600,9900
,80,11,16QAM,10,14088,24,1,2,42240,10560
,81,11,16QAM,10,14088,24,1,2,42768,10692
,100,11,16QAM,10,17424,24,1,3,52800,13200
,108,11,16QAM,10,18960,24,1,3,57024,14256
,120,11,16QAM,10,21000,24,1,3,63360,15840
,128,11,16QAM,10,22536,24,1,3,67584,16896
,135,11,16QAM,10,23568,24,1,3,71280,17820
,160,11,16QAM,10,28168,24,1,4,84480,21120
,162,11,16QAM,10,28168,24,1,4,85536,21384
,216,11,16QAM,10,37896,24,1,5,114048,28512
,243,11,16QAM,10,43032,24,1,6,128304,32076
,270,11,16QAM,10,47112,24,1,6,142560,35640
"NOTE 1:PUSCH mapping Type-A and single-symbol DM-RS configuration Type-1 with 2 additional DM-RS symbols, such that the DM-RS positions are set to symbols 2, 7, 11. DMRS is [TDM'ed] with PUSCH data. DM-RS symbols are not counted.NOTE 2:MCS Index is based on MCS Table 6.1.4.1-1 defined in TS 38.214 [10].NOTE 3:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit).NOTE 4:The RMCs apply to all channel bandwidth where LCRB ≤ NRB.",,,,,,,,,,
