Parameter,Unit,Value,,,,,,,,,
Channel bandwidth,MHz,10,15,20,25,30,40,50,60,80,100
Subcarrier spacing configuration μ,,2,2,2,2,2,2,2,2,2,2
Allocated resource blocks,,11,18,24,31,38,51,65,79,107,135
Subcarriers per resource block,,12,12,12,12,12,12,12,12,12,12
Allocated slots per Frame,,36,36,36,36,36,36,36,36,36,36
MCS Index,,23,23,23,23,23,23,23,23,23,23
MCS Table for TBS determination,,1024QAM,,,,,,,,,
Modulation,,1024 QAM,1024 QAM,1024 QAM,1024 QAM,1024 QAM,1024 QAM,1024 QAM,1024 QAM,1024 QAM,1024 QAM
Target Coding Rate,,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78
Maximum number of HARQ transmissions,,1,1,1,1,1,1,1,1,1,1
Information Bit Payload per Slot,,,,,,,,,,,
"For Slots 0,1,2,3",Bits,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"For Slots 4,…,39",Bits,9224,15368,20496,26120,32264,43032,55304,67584,90176,114776
Transport block CRC,Bits,24,24,24,24,24,24,24,24,24,24
LDPC base graph,,1,1,1,1,1,1,1,1,1,1
Number of Code Blocks per Slot,,,,,,,,,,,
"For Slots 0,1,2,3",CBs,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"For Slots 4,…,39",CBs,2,2,3,4,4,6,7,9,11,14
Binary Channel Bits per Slot,,,,,,,,,,,
"For Slot 0,1,2,3",Bits,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"For Slots 4,…,39",Bits,11880,19440,25920,33480,41040,55080,70200,85320,115560,145800
Max. Throughput averaged over 1 frame,Mbps,33.206,55.325,73.786,94.032,116.150,154.915,199.094,243.302,324.634,413.194
"NOTE 1:Additional parameters are specified in Table A.3.1-1 and Table A.3.2.1-1.NOTE 2:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit).NOTE 3:SS/PBCH block is transmitted in slot #0 of each frameNOTE 4:Slot i is slot index per frame",,,,,,,,,,,
