Parameter,Unit,Value,,,,,,
Channel bandwidth,MHz,10,20,30,40,60,80,100
Subcarrier spacing,kHz,60,60,60,60,[60],[60],[60]
Subchannel size,,10,12,12,10,[15],[15],[15]
Allocated resource blocks,,10,24,36,50,[75],[105],[135]
MCS Index,,24,24,24,24,[24],[24],[24]
MCS Table for TBS determination,64QAM,,,,,,,
Modulation,,64QAM,64QAM,64QAM,64QAM,[64QAM],[64QAM],[64QAM]
Transport Block Size,,3240,11528,18960,27144,[42016],[59432],[77896]
Transport block CRC,Bits,16,24,24,24,[24],[24],[24]
LDPC base graph,,2,1,1,1,[1],[1],[1]
Number of Code Blocks per Slot,,1,2,3,4,[5],[8],[10]
Beta offset for 2nd stage SCI,,6.25,6.25,6.25,6.25,[6.25],[6.25],[6.25]
value when  2nd stage SCI rate matchγ,,7,7,7,1,,,
Binary Channel Bits per Slot,,4248,15336,24840,35964,[55764],[79524],[103284]
Max. Throughput averaged over 100ms,Mbps,1.296,4.6112,7.584,10.858,[16.8064],[23.7728],[31.1584]
"NOTE 1:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit).NOTE 2: is the number of vacant resource elements in the resource block to which the last coded symbol of the 2nd-stage SCI belongs.γ",,,,,,,,
