Parameter,Unit,Value,,,,,,
Channel bandwidth,MHz,10,20,30,40,60,80,100
Subcarrier spacing,kHz,30,30,30,30,[30],[30],[30]
Subchannel size,,12,10,15,15,[10],[12],[15]
Allocated resource blocks,,24,50,75,105,[160],[216],[270]
MCS Index,,24,24,24,24,[24],[24],[24]
MCS Table for TBS determination,64QAM,,,,,,,
Modulation,,64QAM,64QAM,64QAM,64QAM,[64QAM],[64QAM],[64QAM]
Transport Block Size,,11528,27144,42016,60456,[92200],[125016],[155776]
Transport block CRC,Bits,24,24,24,24,[24],[24],[24]
LDPC base graph,,1,1,1,1,[1],[1],[1]
Number of Code Blocks per Slot,,2,4,5,8,[11],[15],[19]
Beta offset for 2nd stage SCI,,6.25,6.25,6.25,6.25,[6.25],[6.25],[6.25]
value when  2nd stage SCI rate matchγ,,7,1,1,1,[1],[1],[1]
Binary Channel Bits per Slot,,15336,35964,55764,79524,[123084],[167436],[210204]
Max. Throughput averaged over 100ms,Mbps,2.3056,5.4288,8.4032,12.091,[18.44],[25.0032],[31.1552]
"NOTE 1:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit).NOTE 2: is the number of vacant resource elements in the resource block to which the last coded symbol of the 2nd-stage SCI belongs.γ",,,,,,,,
