Parameter,Allocated resource blocks (LCRB),DFT-s-OFDM Symbols per slot (Note 1),Modulation,MCS Index (Note 2),Payload size,Transport block CRC,LDPC Base Graph,Number of code blocks per slot (Note 3),Total number of bits per slot,Total modulated symbols per slot
Unit,,,,,Bits,Bits,,,Bits,
,1,11,pi/2 BPSK,0,24,16,2,1,132,132
,5,11,pi/2 BPSK,0,160,16,2,1,660,660
,9,11,pi/2 BPSK,0,288,16,2,1,1188,1188
,10,11,pi/2 BPSK,0,320,16,2,1,1320,1320
,12,11,pi/2 BPSK,0,384,16,2,1,1584,1584
,15,11,pi/2 BPSK,0,480,16,2,1,1980,1980
,18,11,pi/2 BPSK,0,576,16,2,1,2376,2376
,24,11,pi/2 BPSK,0,768,16,2,1,3168,3168
,25,11,pi/2 BPSK,0,808,16,2,1,3300,3300
,30,11,pi/2 BPSK,0,984,16,2,1,3960,3960
,32,11,pi/2 BPSK,0,1032,16,2,1,4224,4224
,36,11,pi/2 BPSK,0,1128,16,2,1,4752,4752
,45,11,pi/2 BPSK,0,1416,16,2,1,5940,5940
,50,11,pi/2 BPSK,0,1544,16,2,1,6600,6600
,60,11,pi/2 BPSK,0,1864,16,2,1,7920,7920
,64,11,pi/2 BPSK,0,2024,16,2,1,8448,8448
,75,11,pi/2 BPSK,0,2408,16,2,1,9900,9900
,80,11,pi/2 BPSK,0,2472,16,2,1,10560,10560
,81,11,pi/2 BPSK,0,2536,16,2,1,10692,10692
,90,11,pi/2 BPSK,0,2792,16,2,1,11880,11880
,100,11,pi/2 BPSK,0,3104,16,2,1,13200,13200
,108,11,pi/2 BPSK,0,3368,16,2,1,14256,14256
,120,11,pi/2 BPSK,0,3752,16,2,1,15840,15840
,128,11,pi/2 BPSK,0,3976,24,2,2,16896,16896
,135,11,pi/2 BPSK,0,4104,24,2,2,17820,17820
,160,11,pi/2 BPSK,0,4872,24,2,2,21120,21120
,162,11,pi/2 BPSK,0,5000,24,2,2,21384,21384
,180,11,pi/2 BPSK,0,5512,24,2,2,23760,23760
,216,11,pi/2 BPSK,0,6664,24,2,2,28512,28512
,243,11,pi/2 BPSK,0,7560,24,2,2,32076,32076
,270,11,pi/2 BPSK,0,8448,24,2,3,35640,35640
"NOTE 1:PUSCH mapping Type-A and single-symbol DM-RS configuration Type-1 with 2 additional DM-RS symbols, such that the DM-RS positions are set to symbols 2, 7, 11. DMRS is [TDM'ed] with PUSCH data. DM-RS symbols are not counted.NOTE 2:MCS Index is based on MCS Table 6.1.4.1-1 defined in TS 38.214 [10].NOTE 3:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit).NOTE 4:The RMCs apply to all channel bandwidth where LCRB ≤ NRB.",,,,,,,,,,
