Parameter,Unit,Value,,,,,,,,,,
Channel bandwidth,MHz,3,"5, 10,15, 20 (Note 5)",5,7,10,15,20,25,30,40,50
Subcarrier spacing,kHz,15,15,15,15,15,15,15,15,15,15,15
Subcarrier spacing configuration,,0,0,0,0,0,0,0,0,0,0,0
Allocated resource blocks,,15,20,25,35,52,79,106,133,160,216,270
Subcarriers per resource block,,12,12,12,12,12,12,12,12,12,12,12
Allocated slots per Frame,,8,8,8,8,8,8,8,8,8,8,8
MCS Index,,24,24,24,24,24,24,24,24,24,24,24
MCS Table for TBS determination,64QAM,,,,,,,,,,,
Modulation,,64 QAM,64 QAM,64 QAM,64QAM,64 QAM,64 QAM,64 QAM,64 QAM,64 QAM,64 QAM,64 QAM
Target Coding Rate,,3/4,3/4,3/4,3/4,3/4,3/4,3/4,3/4,3/4,3/4,3/4
Maximum number of HARQ transmissions,,1,1,1,1,1,1,1,1,1,1,1
Information Bit Payload per Slot,,,,,,,,,,,,
"For Slots 0,1",Bits,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"For Slots 2,3,4,5,6,7,8,9",Bits,7296,9736,12296,16896,25608,38936,52224,64552,77896,106576,131176
Transport block CRC,Bits,24,24,24,24,24,24,24,24,24,24,24
LDPC base graph,,1,1,1,1,1,1,1,1,1,1,1
Number of Code Blocks per Slot,,,,,,,,,,,,
"For Slot 0,1",CBs,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"For Slots 2,3,4,5,6,7,8,9",CBs,1,2,2,3,4,5,7,8,10,13,16
Binary Channel Bits per Slot,,,,,,,,,,,,
"For Slot 0,1",Bits,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"For Slots 2,3,4,5,6,7,8,9",Bits,9720,12960,16200,22680,33696,51192,68688,86184,103680,139968,174960
Max. Throughput averaged over 1 frame,Mbps,5.837,7.789,9.837,13.517,20.486,31.149,41.779,51.642,62.317,85.261,104.941
"NOTE 1:Additional parameters are specified in Table A.3.1-1 and Table A.3.2.1-1.NOTE 2:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit).NOTE 3:SS/PBCH block is transmitted in slot 0 of each frameNOTE 4:Slot i is slot index per frameNOTE 5:Channel bandwidths in this column only apply to UEs supporting IE supportOfERedCap-r18.",,,,,,,,,,,,
