Parameter,Allocated resource blocks (LCRB),DFT-s-OFDM Symbols per slot (Note 1),Modulation,MCS Index (Note 2),Payload size,Transport block CRC,LDPC Base Graph,Number of code blocks per slot (Note 3),Total number of bits per slot,Total modulated symbols per slot
Unit,,,,,Bits,Bits,,,Bits,
,1,11,QPSK,2,48,16,2,1,264,132
,4,11,QPSK,2,200,16,2,1,1056,528
,5,11,QPSK,2,256,16,2,1,1320,660
,6,11,QPSK,2,304,16,2,1,1584,792
,8,11,QPSK,2,408,16,2,1,2112,1056
,9,11,QPSK,2,456,16,2,1,2376,1188
,10,11,QPSK,2,504,16,2,1,2640,1320
,12,11,QPSK,2,608,16,2,1,3168,1584
,15,11,QPSK,2,768,16,2,1,3960,1980
,16,11,QPSK,2,808,16,2,1,4224,2112
,18,11,QPSK,2,928,16,2,1,4752,2376
,20,11,QPSK,2,1032,16,2,1,5280,2640
,24,11,QPSK,2,1192,16,2,1,6336,3168
,25,11,QPSK,2,1256,16,2,1,6600,3300
,30,11,QPSK,2,1544,16,2,1,7920,3960
,32,11,QPSK,2,1608,16,2,1,8448,4224
,36,11,QPSK,2,1800,16,2,1,9504,4752
,40,11,QPSK,2,2024,16,2,1,10560,5280
,45,11,QPKS,2,2208,16,2,1,11880,5940
,50,11,QPSK,2,2472,16,2,1,13200,6600
,60,11,QPSK,2,3104,16,2,1,15840,7920
,64,11,QPSK,2,3240,16,2,1,16896,8448
,75,11,QPSK,2,3752,16,2,1,19800,9900
,80,11,QPSK,2,3976,24,2,2,21120,10560
,81,11,QPSK,2,4040,24,2,2,21384,10692
,90,11,QPSK,2,4488,24,2,2,23760,11880
,100,11,QPSK,2,5000,24,2,2,26400,13200
,108,11,QPSK,2,5384,24,2,2,28512,14256
,120,11,QPSK,2,5896,24,2,2,31680,15840
,128,11,QPSK,2,6408,24,2,2,33792,16896
,135,11,QPSK,2,6664,24,2,2,35640,17820
,160,11,QPSK,2,7944,24,2,3,42240,21120
,162,11,QPSK,2,8064,24,2,3,42768,21384
,180,11,QPSK,2,8976,24,2,3,47520,23760
,216,11,QPSK,2,10752,24,2,3,57024,28512
,240,11,QPSK,2,11776,24,2,4,63360,31680
,243,11,QPSK,2,12040,24,2,4,64152,32076
,270,11,QPSK,2,13320,24,2,4,71280,35640
"NOTE 1:PUSCH mapping Type-A and single-symbol DM-RS configuration Type-1 with 2 additional DM-RS symbols, such that the DM-RS positions are set to symbols 2, 7, 11. DMRS is [TDM'ed] with PUSCH data. DM-RS symbols are not counted.NOTE 2:MCS Index is based on MCS Table 6.1.4.1-1 defined in TS 38.214 [10].NOTE 3:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit).NOTE 4:The RMCs apply to all channel bandwidth where LCRB ≤ NRB.",,,,,,,,,,
