Parameter,Unit,Value,,,,,,
Channel bandwidth,MHz,10,20,30,40,60,80,100
Subcarrier spacing,kHz,60,60,60,60,[60],[60],[60]
Subchannel size,,10,12,12,10,[15],[15],[15]
Allocated resource blocks,,10,24,36,50,[75],[105],[135]
MCS Index,,4,4,4,4,[4],[4],[4]
MCS Table for TBS determination,64QAM,,,,,,,
Modulation,,QPSK,QPSK,QPSK,QPSK,[QPSK],[QPSK],[QPSK]
Transport Block Size,,456,1608,2536,3624,[5504],[7936],[10248]
Transport block CRC,Bits,16,16,16,16,[24],[24],[24]
LDPC base graph,,2,2,2,2,[1],[1],[1]
Number of Code Blocks per Slot,,1,1,1,1,[1],[1],[2]
Beta offset for 2nd stage SCI,,2.25,2.25,2.25,2.25,[2.25],[2.25],[2.25]
value when  2nd stage SCI rate matchγ,,7,7,7,1,[1],[1],[1]
Binary Channel Bits per Slot,,1464,5160,8328,12036,[18636],[26556],[34476]
Max. Throughput averaged over 100ms,Mbps,0.1824,0.6432,1.0144,1.4496,[2.2016],[3.1744],[4.0992]
"NOTE 1:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit).NOTE 2: is the number of vacant resource elements in the resource block to which the last coded symbol of the 2nd-stage SCI belongs.γ",,,,,,,,
